,lumpSum_avg,npsf_avg,unit_count,lumpSum_total,npsf_total,nfa_total,final_address,lumpSum_A1,npsf_A1,nfa_A1,lumpSum_A2,npsf_A2,nfa_A2,lumpSum_A3,npsf_A3,nfa_A3,lumpSum_A5,npsf_A5,nfa_A5,lumpSum_A6,npsf_A6,nfa_A6,lumpSum_B1,npsf_B1,nfa_B1,lumpSum_B2,npsf_B2,nfa_B2,lumpSum_B3,npsf_B3,nfa_B3,lumpSum_change,npsf_change
2019-12-15,6753866.875,13982.25,8,54030935.0,111858.0,3867,"WETLAND SEASONS PARK(Phase 3),Block 7,WETLAND PARK RD|WETLAND SEASONS PARK3期,7座,濕地公園路",6723000.0,13500.0,498.0,6824246.0,15301.0,446.0,6850298.0,13867.0,494.0,6036768.0,13974.0,432.0,9179211.0,13929.0,659.0,6660758.0,13819.0,482.0,5961977.0,13769.0,433.0,5794677.0,13699.0,423.0,-0.00032043588309071946,-0.0003217330687972364
2018-10-15,,,8,,,3867,"WETLAND SEASONS PARK(Phase 3),Block 7,WETLAND PARK RD|WETLAND SEASONS PARK3期,7座,濕地公園路",,,498.0,,,446.0,,,494.0,,,432.0,,,659.0,,,482.0,,,433.0,,,423.0,,
2018-9-15,,,8,,,3867,"WETLAND SEASONS PARK(Phase 3),Block 7,WETLAND PARK RD|WETLAND SEASONS PARK3期,7座,濕地公園路",,,498.0,,,446.0,,,494.0,,,432.0,,,659.0,,,482.0,,,433.0,,,423.0,,
2018-8-15,,,8,,,3867,"WETLAND SEASONS PARK(Phase 3),Block 7,WETLAND PARK RD|WETLAND SEASONS PARK3期,7座,濕地公園路",,,498.0,,,446.0,,,494.0,,,432.0,,,659.0,,,482.0,,,433.0,,,423.0,,
2018-7-15,,,8,,,3867,"WETLAND SEASONS PARK(Phase 3),Block 7,WETLAND PARK RD|WETLAND SEASONS PARK3期,7座,濕地公園路",,,498.0,,,446.0,,,494.0,,,432.0,,,659.0,,,482.0,,,433.0,,,423.0,,
2018-6-15,,,8,,,3867,"WETLAND SEASONS PARK(Phase 3),Block 7,WETLAND PARK RD|WETLAND SEASONS PARK3期,7座,濕地公園路",,,498.0,,,446.0,,,494.0,,,432.0,,,659.0,,,482.0,,,433.0,,,423.0,,
2018-5-15,,,8,,,3867,"WETLAND SEASONS PARK(Phase 3),Block 7,WETLAND PARK RD|WETLAND SEASONS PARK3期,7座,濕地公園路",,,498.0,,,446.0,,,494.0,,,432.0,,,659.0,,,482.0,,,433.0,,,423.0,,
2018-4-15,,,8,,,3867,"WETLAND SEASONS PARK(Phase 3),Block 7,WETLAND PARK RD|WETLAND SEASONS PARK3期,7座,濕地公園路",,,498.0,,,446.0,,,494.0,,,432.0,,,659.0,,,482.0,,,433.0,,,423.0,,
2018-3-15,,,8,,,3867,"WETLAND SEASONS PARK(Phase 3),Block 7,WETLAND PARK RD|WETLAND SEASONS PARK3期,7座,濕地公園路",,,498.0,,,446.0,,,494.0,,,432.0,,,659.0,,,482.0,,,433.0,,,423.0,,
2018-2-15,,,8,,,3867,"WETLAND SEASONS PARK(Phase 3),Block 7,WETLAND PARK RD|WETLAND SEASONS PARK3期,7座,濕地公園路",,,498.0,,,446.0,,,494.0,,,432.0,,,659.0,,,482.0,,,433.0,,,423.0,,
2018-1-15,,,8,,,3867,"WETLAND SEASONS PARK(Phase 3),Block 7,WETLAND PARK RD|WETLAND SEASONS PARK3期,7座,濕地公園路",,,498.0,,,446.0,,,494.0,,,432.0,,,659.0,,,482.0,,,433.0,,,423.0,,
2017-12-15,,,8,,,3867,"WETLAND SEASONS PARK(Phase 3),Block 7,WETLAND PARK RD|WETLAND SEASONS PARK3期,7座,濕地公園路",,,498.0,,,446.0,,,494.0,,,432.0,,,659.0,,,482.0,,,433.0,,,423.0,,
2017-11-15,,,8,,,3867,"WETLAND SEASONS PARK(Phase 3),Block 7,WETLAND PARK RD|WETLAND SEASONS PARK3期,7座,濕地公園路",,,498.0,,,446.0,,,494.0,,,432.0,,,659.0,,,482.0,,,433.0,,,423.0,,
2017-10-15,,,8,,,3867,"WETLAND SEASONS PARK(Phase 3),Block 7,WETLAND PARK RD|WETLAND SEASONS PARK3期,7座,濕地公園路",,,498.0,,,446.0,,,494.0,,,432.0,,,659.0,,,482.0,,,433.0,,,423.0,,
2017-9-15,,,8,,,3867,"WETLAND SEASONS PARK(Phase 3),Block 7,WETLAND PARK RD|WETLAND SEASONS PARK3期,7座,濕地公園路",,,498.0,,,446.0,,,494.0,,,432.0,,,659.0,,,482.0,,,433.0,,,423.0,,
2017-8-15,,,8,,,3867,"WETLAND SEASONS PARK(Phase 3),Block 7,WETLAND PARK RD|WETLAND SEASONS PARK3期,7座,濕地公園路",,,498.0,,,446.0,,,494.0,,,432.0,,,659.0,,,482.0,,,433.0,,,423.0,,
2017-7-15,,,8,,,3867,"WETLAND SEASONS PARK(Phase 3),Block 7,WETLAND PARK RD|WETLAND SEASONS PARK3期,7座,濕地公園路",,,498.0,,,446.0,,,494.0,,,432.0,,,659.0,,,482.0,,,433.0,,,423.0,,
2017-6-15,,,8,,,3867,"WETLAND SEASONS PARK(Phase 3),Block 7,WETLAND PARK RD|WETLAND SEASONS PARK3期,7座,濕地公園路",,,498.0,,,446.0,,,494.0,,,432.0,,,659.0,,,482.0,,,433.0,,,423.0,,
2017-5-15,,,8,,,3867,"WETLAND SEASONS PARK(Phase 3),Block 7,WETLAND PARK RD|WETLAND SEASONS PARK3期,7座,濕地公園路",,,498.0,,,446.0,,,494.0,,,432.0,,,659.0,,,482.0,,,433.0,,,423.0,,
2017-4-15,,,8,,,3867,"WETLAND SEASONS PARK(Phase 3),Block 7,WETLAND PARK RD|WETLAND SEASONS PARK3期,7座,濕地公園路",,,498.0,,,446.0,,,494.0,,,432.0,,,659.0,,,482.0,,,433.0,,,423.0,,
2017-3-15,,,8,,,3867,"WETLAND SEASONS PARK(Phase 3),Block 7,WETLAND PARK RD|WETLAND SEASONS PARK3期,7座,濕地公園路",,,498.0,,,446.0,,,494.0,,,432.0,,,659.0,,,482.0,,,433.0,,,423.0,,
2017-2-15,,,8,,,3867,"WETLAND SEASONS PARK(Phase 3),Block 7,WETLAND PARK RD|WETLAND SEASONS PARK3期,7座,濕地公園路",,,498.0,,,446.0,,,494.0,,,432.0,,,659.0,,,482.0,,,433.0,,,423.0,,
2017-1-15,,,8,,,3867,"WETLAND SEASONS PARK(Phase 3),Block 7,WETLAND PARK RD|WETLAND SEASONS PARK3期,7座,濕地公園路",,,498.0,,,446.0,,,494.0,,,432.0,,,659.0,,,482.0,,,433.0,,,423.0,,
2016-12-15,,,8,,,3867,"WETLAND SEASONS PARK(Phase 3),Block 7,WETLAND PARK RD|WETLAND SEASONS PARK3期,7座,濕地公園路",,,498.0,,,446.0,,,494.0,,,432.0,,,659.0,,,482.0,,,433.0,,,423.0,,
2016-11-15,,,8,,,3867,"WETLAND SEASONS PARK(Phase 3),Block 7,WETLAND PARK RD|WETLAND SEASONS PARK3期,7座,濕地公園路",,,498.0,,,446.0,,,494.0,,,432.0,,,659.0,,,482.0,,,433.0,,,423.0,,
2016-10-15,,,8,,,3867,"WETLAND SEASONS PARK(Phase 3),Block 7,WETLAND PARK RD|WETLAND SEASONS PARK3期,7座,濕地公園路",,,498.0,,,446.0,,,494.0,,,432.0,,,659.0,,,482.0,,,433.0,,,423.0,,
2016-9-15,,,8,,,3867,"WETLAND SEASONS PARK(Phase 3),Block 7,WETLAND PARK RD|WETLAND SEASONS PARK3期,7座,濕地公園路",,,498.0,,,446.0,,,494.0,,,432.0,,,659.0,,,482.0,,,433.0,,,423.0,,
2016-8-15,,,8,,,3867,"WETLAND SEASONS PARK(Phase 3),Block 7,WETLAND PARK RD|WETLAND SEASONS PARK3期,7座,濕地公園路",,,498.0,,,446.0,,,494.0,,,432.0,,,659.0,,,482.0,,,433.0,,,423.0,,
2016-7-15,,,8,,,3867,"WETLAND SEASONS PARK(Phase 3),Block 7,WETLAND PARK RD|WETLAND SEASONS PARK3期,7座,濕地公園路",,,498.0,,,446.0,,,494.0,,,432.0,,,659.0,,,482.0,,,433.0,,,423.0,,
2016-6-15,,,8,,,3867,"WETLAND SEASONS PARK(Phase 3),Block 7,WETLAND PARK RD|WETLAND SEASONS PARK3期,7座,濕地公園路",,,498.0,,,446.0,,,494.0,,,432.0,,,659.0,,,482.0,,,433.0,,,423.0,,
2016-5-15,,,8,,,3867,"WETLAND SEASONS PARK(Phase 3),Block 7,WETLAND PARK RD|WETLAND SEASONS PARK3期,7座,濕地公園路",,,498.0,,,446.0,,,494.0,,,432.0,,,659.0,,,482.0,,,433.0,,,423.0,,
2016-4-15,,,8,,,3867,"WETLAND SEASONS PARK(Phase 3),Block 7,WETLAND PARK RD|WETLAND SEASONS PARK3期,7座,濕地公園路",,,498.0,,,446.0,,,494.0,,,432.0,,,659.0,,,482.0,,,433.0,,,423.0,,
2016-3-15,,,8,,,3867,"WETLAND SEASONS PARK(Phase 3),Block 7,WETLAND PARK RD|WETLAND SEASONS PARK3期,7座,濕地公園路",,,498.0,,,446.0,,,494.0,,,432.0,,,659.0,,,482.0,,,433.0,,,423.0,,
2016-2-15,,,8,,,3867,"WETLAND SEASONS PARK(Phase 3),Block 7,WETLAND PARK RD|WETLAND SEASONS PARK3期,7座,濕地公園路",,,498.0,,,446.0,,,494.0,,,432.0,,,659.0,,,482.0,,,433.0,,,423.0,,
2016-1-15,,,8,,,3867,"WETLAND SEASONS PARK(Phase 3),Block 7,WETLAND PARK RD|WETLAND SEASONS PARK3期,7座,濕地公園路",,,498.0,,,446.0,,,494.0,,,432.0,,,659.0,,,482.0,,,433.0,,,423.0,,
