,lumpSum_avg,npsf_avg,unit_count,lumpSum_total,npsf_total,nfa_total,final_address,lumpSum_B,npsf_B,nfa_B,lumpSum_C,npsf_C,nfa_C,lumpSum_D,npsf_D,nfa_D,lumpSum_E,npsf_E,nfa_E,lumpSum_K,npsf_K,nfa_K,lumpSum_L,npsf_L,nfa_L,lumpSum_M,npsf_M,nfa_M,lumpSum_N,npsf_N,nfa_N,lumpSum_P,npsf_P,nfa_P,lumpSum_change,npsf_change
2019-12-15,5599534.888888889,23761.0,9,50395814,213849,2122,"AQUILA.SQUARE MILE(Block 1),FUK CHAK ST|利奧坊•曦岸1座,福澤街",5839360.0,22810.0,256.0,6081280.0,23755.0,256.0,6102784.0,23839.0,256.0,6042624.0,23604.0,256.0,6312856.0,24952.0,253.0,5908095.0,23169.0,255.0,4658656.0,23648.0,197.0,4528359.0,23463.0,193.0,4921800.0,24609.0,200.0,-0.030542878947011354,-0.030541376152611655
2019-1-15,5324465.222222222,22593.444444444445,9,47920187,203341,2122,"AQUILA.SQUARE MILE(Block 1),FUK CHAK ST|利奧坊•曦岸1座,福澤街",5553408.0,21693.0,256.0,5788928.0,22613.0,256.0,5808384.0,22689.0,256.0,5741312.0,22427.0,256.0,5996606.0,23702.0,253.0,5618670.0,22034.0,255.0,4430333.0,22489.0,197.0,4308146.0,22322.0,193.0,4674400.0,23372.0,200.0,0.05030381102741055,0.05030423239429349
2018-12-15,5069452.444444444,21511.333333333332,9,45625072,193602,2122,"AQUILA.SQUARE MILE(Block 1),FUK CHAK ST|利奧坊•曦岸1座,福澤街",5287424.0,20654.0,256.0,5512448.0,21533.0,256.0,5530624.0,21604.0,256.0,5465856.0,21351.0,256.0,5708692.0,22564.0,253.0,5349645.0,20979.0,255.0,4218361.0,21413.0,197.0,4102022.0,21254.0,193.0,4450000.0,22250.0,200.0,,
2018-11-15,,,9,,,2122,"AQUILA.SQUARE MILE(Block 1),FUK CHAK ST|利奧坊•曦岸1座,福澤街",,,256.0,,,256.0,,,256.0,,,256.0,,,253.0,,,255.0,,,197.0,,,193.0,,,200.0,,
2018-10-15,,,9,,,2122,"AQUILA.SQUARE MILE(Block 1),FUK CHAK ST|利奧坊•曦岸1座,福澤街",,,256.0,,,256.0,,,256.0,,,256.0,,,253.0,,,255.0,,,197.0,,,193.0,,,200.0,,
2018-9-15,,,9,,,2122,"AQUILA.SQUARE MILE(Block 1),FUK CHAK ST|利奧坊•曦岸1座,福澤街",,,256.0,,,256.0,,,256.0,,,256.0,,,253.0,,,255.0,,,197.0,,,193.0,,,200.0,,
2018-8-15,,,9,,,2122,"AQUILA.SQUARE MILE(Block 1),FUK CHAK ST|利奧坊•曦岸1座,福澤街",,,256.0,,,256.0,,,256.0,,,256.0,,,253.0,,,255.0,,,197.0,,,193.0,,,200.0,,
2018-7-15,,,9,,,2122,"AQUILA.SQUARE MILE(Block 1),FUK CHAK ST|利奧坊•曦岸1座,福澤街",,,256.0,,,256.0,,,256.0,,,256.0,,,253.0,,,255.0,,,197.0,,,193.0,,,200.0,,
2018-6-15,,,9,,,2122,"AQUILA.SQUARE MILE(Block 1),FUK CHAK ST|利奧坊•曦岸1座,福澤街",,,256.0,,,256.0,,,256.0,,,256.0,,,253.0,,,255.0,,,197.0,,,193.0,,,200.0,,
2018-5-15,,,9,,,2122,"AQUILA.SQUARE MILE(Block 1),FUK CHAK ST|利奧坊•曦岸1座,福澤街",,,256.0,,,256.0,,,256.0,,,256.0,,,253.0,,,255.0,,,197.0,,,193.0,,,200.0,,
2018-4-15,,,9,,,2122,"AQUILA.SQUARE MILE(Block 1),FUK CHAK ST|利奧坊•曦岸1座,福澤街",,,256.0,,,256.0,,,256.0,,,256.0,,,253.0,,,255.0,,,197.0,,,193.0,,,200.0,,
2018-3-15,,,9,,,2122,"AQUILA.SQUARE MILE(Block 1),FUK CHAK ST|利奧坊•曦岸1座,福澤街",,,256.0,,,256.0,,,256.0,,,256.0,,,253.0,,,255.0,,,197.0,,,193.0,,,200.0,,
2018-2-15,,,9,,,2122,"AQUILA.SQUARE MILE(Block 1),FUK CHAK ST|利奧坊•曦岸1座,福澤街",,,256.0,,,256.0,,,256.0,,,256.0,,,253.0,,,255.0,,,197.0,,,193.0,,,200.0,,
2018-1-15,,,9,,,2122,"AQUILA.SQUARE MILE(Block 1),FUK CHAK ST|利奧坊•曦岸1座,福澤街",,,256.0,,,256.0,,,256.0,,,256.0,,,253.0,,,255.0,,,197.0,,,193.0,,,200.0,,
2017-12-15,,,9,,,2122,"AQUILA.SQUARE MILE(Block 1),FUK CHAK ST|利奧坊•曦岸1座,福澤街",,,256.0,,,256.0,,,256.0,,,256.0,,,253.0,,,255.0,,,197.0,,,193.0,,,200.0,,
2017-11-15,,,9,,,2122,"AQUILA.SQUARE MILE(Block 1),FUK CHAK ST|利奧坊•曦岸1座,福澤街",,,256.0,,,256.0,,,256.0,,,256.0,,,253.0,,,255.0,,,197.0,,,193.0,,,200.0,,
2017-10-15,,,9,,,2122,"AQUILA.SQUARE MILE(Block 1),FUK CHAK ST|利奧坊•曦岸1座,福澤街",,,256.0,,,256.0,,,256.0,,,256.0,,,253.0,,,255.0,,,197.0,,,193.0,,,200.0,,
2017-9-15,,,9,,,2122,"AQUILA.SQUARE MILE(Block 1),FUK CHAK ST|利奧坊•曦岸1座,福澤街",,,256.0,,,256.0,,,256.0,,,256.0,,,253.0,,,255.0,,,197.0,,,193.0,,,200.0,,
2017-8-15,,,9,,,2122,"AQUILA.SQUARE MILE(Block 1),FUK CHAK ST|利奧坊•曦岸1座,福澤街",,,256.0,,,256.0,,,256.0,,,256.0,,,253.0,,,255.0,,,197.0,,,193.0,,,200.0,,
2017-7-15,,,9,,,2122,"AQUILA.SQUARE MILE(Block 1),FUK CHAK ST|利奧坊•曦岸1座,福澤街",,,256.0,,,256.0,,,256.0,,,256.0,,,253.0,,,255.0,,,197.0,,,193.0,,,200.0,,
2017-6-15,,,9,,,2122,"AQUILA.SQUARE MILE(Block 1),FUK CHAK ST|利奧坊•曦岸1座,福澤街",,,256.0,,,256.0,,,256.0,,,256.0,,,253.0,,,255.0,,,197.0,,,193.0,,,200.0,,
2017-5-15,,,9,,,2122,"AQUILA.SQUARE MILE(Block 1),FUK CHAK ST|利奧坊•曦岸1座,福澤街",,,256.0,,,256.0,,,256.0,,,256.0,,,253.0,,,255.0,,,197.0,,,193.0,,,200.0,,
2017-4-15,,,9,,,2122,"AQUILA.SQUARE MILE(Block 1),FUK CHAK ST|利奧坊•曦岸1座,福澤街",,,256.0,,,256.0,,,256.0,,,256.0,,,253.0,,,255.0,,,197.0,,,193.0,,,200.0,,
2017-3-15,,,9,,,2122,"AQUILA.SQUARE MILE(Block 1),FUK CHAK ST|利奧坊•曦岸1座,福澤街",,,256.0,,,256.0,,,256.0,,,256.0,,,253.0,,,255.0,,,197.0,,,193.0,,,200.0,,
2017-2-15,,,9,,,2122,"AQUILA.SQUARE MILE(Block 1),FUK CHAK ST|利奧坊•曦岸1座,福澤街",,,256.0,,,256.0,,,256.0,,,256.0,,,253.0,,,255.0,,,197.0,,,193.0,,,200.0,,
2017-1-15,,,9,,,2122,"AQUILA.SQUARE MILE(Block 1),FUK CHAK ST|利奧坊•曦岸1座,福澤街",,,256.0,,,256.0,,,256.0,,,256.0,,,253.0,,,255.0,,,197.0,,,193.0,,,200.0,,
2016-12-15,,,9,,,2122,"AQUILA.SQUARE MILE(Block 1),FUK CHAK ST|利奧坊•曦岸1座,福澤街",,,256.0,,,256.0,,,256.0,,,256.0,,,253.0,,,255.0,,,197.0,,,193.0,,,200.0,,
2016-11-15,,,9,,,2122,"AQUILA.SQUARE MILE(Block 1),FUK CHAK ST|利奧坊•曦岸1座,福澤街",,,256.0,,,256.0,,,256.0,,,256.0,,,253.0,,,255.0,,,197.0,,,193.0,,,200.0,,
2016-10-15,,,9,,,2122,"AQUILA.SQUARE MILE(Block 1),FUK CHAK ST|利奧坊•曦岸1座,福澤街",,,256.0,,,256.0,,,256.0,,,256.0,,,253.0,,,255.0,,,197.0,,,193.0,,,200.0,,
2016-9-15,,,9,,,2122,"AQUILA.SQUARE MILE(Block 1),FUK CHAK ST|利奧坊•曦岸1座,福澤街",,,256.0,,,256.0,,,256.0,,,256.0,,,253.0,,,255.0,,,197.0,,,193.0,,,200.0,,
2016-8-15,,,9,,,2122,"AQUILA.SQUARE MILE(Block 1),FUK CHAK ST|利奧坊•曦岸1座,福澤街",,,256.0,,,256.0,,,256.0,,,256.0,,,253.0,,,255.0,,,197.0,,,193.0,,,200.0,,
2016-7-15,,,9,,,2122,"AQUILA.SQUARE MILE(Block 1),FUK CHAK ST|利奧坊•曦岸1座,福澤街",,,256.0,,,256.0,,,256.0,,,256.0,,,253.0,,,255.0,,,197.0,,,193.0,,,200.0,,
2016-6-15,,,9,,,2122,"AQUILA.SQUARE MILE(Block 1),FUK CHAK ST|利奧坊•曦岸1座,福澤街",,,256.0,,,256.0,,,256.0,,,256.0,,,253.0,,,255.0,,,197.0,,,193.0,,,200.0,,
2016-5-15,,,9,,,2122,"AQUILA.SQUARE MILE(Block 1),FUK CHAK ST|利奧坊•曦岸1座,福澤街",,,256.0,,,256.0,,,256.0,,,256.0,,,253.0,,,255.0,,,197.0,,,193.0,,,200.0,,
2016-4-15,,,9,,,2122,"AQUILA.SQUARE MILE(Block 1),FUK CHAK ST|利奧坊•曦岸1座,福澤街",,,256.0,,,256.0,,,256.0,,,256.0,,,253.0,,,255.0,,,197.0,,,193.0,,,200.0,,
2016-3-15,,,9,,,2122,"AQUILA.SQUARE MILE(Block 1),FUK CHAK ST|利奧坊•曦岸1座,福澤街",,,256.0,,,256.0,,,256.0,,,256.0,,,253.0,,,255.0,,,197.0,,,193.0,,,200.0,,
2016-2-15,,,9,,,2122,"AQUILA.SQUARE MILE(Block 1),FUK CHAK ST|利奧坊•曦岸1座,福澤街",,,256.0,,,256.0,,,256.0,,,256.0,,,253.0,,,255.0,,,197.0,,,193.0,,,200.0,,
2016-1-15,,,9,,,2122,"AQUILA.SQUARE MILE(Block 1),FUK CHAK ST|利奧坊•曦岸1座,福澤街",,,256.0,,,256.0,,,256.0,,,256.0,,,253.0,,,255.0,,,197.0,,,193.0,,,200.0,,
