,lumpSum_avg,npsf_avg,unit_count,lumpSum_total,npsf_total,nfa_total,final_address,lumpSum_whole floor,npsf_whole floor,nfa_whole floor,lumpSum_change,npsf_change
2016-1-15,30279060.0,20598.0,1,30279060.0,20598,1470.0,"KINGSLAND COURT,BONHAM RD|金麗閣,般咸道",30279060.0,20598.0,1470.0,0.029539661118608507,0.029539661118608507
2019-7-15,,,1,,,,"KINGSLAND COURT,BONHAM RD|金麗閣,般咸道",,,,,
2019-8-15,,,1,,,,"KINGSLAND COURT,BONHAM RD|金麗閣,般咸道",,,,,
2019-9-15,,,1,,,,"KINGSLAND COURT,BONHAM RD|金麗閣,般咸道",,,,,
2019-10-15,,,1,,,,"KINGSLAND COURT,BONHAM RD|金麗閣,般咸道",,,,,
2019-11-15,,,1,,,,"KINGSLAND COURT,BONHAM RD|金麗閣,般咸道",,,,,
2019-12-15,,,1,,,,"KINGSLAND COURT,BONHAM RD|金麗閣,般咸道",,,,,
2020-1-15,,,1,,,,"KINGSLAND COURT,BONHAM RD|金麗閣,般咸道",,,,,
2020-2-15,,,1,,,,"KINGSLAND COURT,BONHAM RD|金麗閣,般咸道",,,,,
2020-3-15,,,1,,,,"KINGSLAND COURT,BONHAM RD|金麗閣,般咸道",,,,,
2020-4-15,,,1,,,,"KINGSLAND COURT,BONHAM RD|金麗閣,般咸道",,,,,
2020-5-15,,,1,,,,"KINGSLAND COURT,BONHAM RD|金麗閣,般咸道",,,,,
2020-6-15,,,1,,,,"KINGSLAND COURT,BONHAM RD|金麗閣,般咸道",,,,,
2020-7-15,,,1,,,,"KINGSLAND COURT,BONHAM RD|金麗閣,般咸道",,,,,
2020-8-15,,,1,,,,"KINGSLAND COURT,BONHAM RD|金麗閣,般咸道",,,,,
2020-9-15,,,1,,,,"KINGSLAND COURT,BONHAM RD|金麗閣,般咸道",,,,,
2020-10-15,,,1,,,,"KINGSLAND COURT,BONHAM RD|金麗閣,般咸道",,,,,
2020-11-15,,,1,,,,"KINGSLAND COURT,BONHAM RD|金麗閣,般咸道",,,,,
2020-12-15,,,1,,,,"KINGSLAND COURT,BONHAM RD|金麗閣,般咸道",,,,,
2021-1-15,,,1,,,,"KINGSLAND COURT,BONHAM RD|金麗閣,般咸道",,,,,
2021-2-15,,,1,,,,"KINGSLAND COURT,BONHAM RD|金麗閣,般咸道",,,,,
2021-3-15,,,1,,,,"KINGSLAND COURT,BONHAM RD|金麗閣,般咸道",,,,,
2021-4-15,,,1,,,,"KINGSLAND COURT,BONHAM RD|金麗閣,般咸道",,,,,
2021-5-15,,,1,,,,"KINGSLAND COURT,BONHAM RD|金麗閣,般咸道",,,,,
2021-6-15,,,1,,,,"KINGSLAND COURT,BONHAM RD|金麗閣,般咸道",,,,,
2021-7-15,,,1,,,,"KINGSLAND COURT,BONHAM RD|金麗閣,般咸道",,,,,
2021-8-15,,,1,,,,"KINGSLAND COURT,BONHAM RD|金麗閣,般咸道",,,,,
2021-9-15,,,1,,,,"KINGSLAND COURT,BONHAM RD|金麗閣,般咸道",,,,,
2021-10-15,,,1,,,,"KINGSLAND COURT,BONHAM RD|金麗閣,般咸道",,,,,
2021-11-15,,,1,,,,"KINGSLAND COURT,BONHAM RD|金麗閣,般咸道",,,,,
2021-12-15,,,1,,,,"KINGSLAND COURT,BONHAM RD|金麗閣,般咸道",,,,,
2022-1-15,,,1,,,,"KINGSLAND COURT,BONHAM RD|金麗閣,般咸道",,,,,
2022-2-15,,,1,,,,"KINGSLAND COURT,BONHAM RD|金麗閣,般咸道",,,,,
2022-3-15,,,1,,,,"KINGSLAND COURT,BONHAM RD|金麗閣,般咸道",,,,,
2022-4-15,,,1,,,,"KINGSLAND COURT,BONHAM RD|金麗閣,般咸道",,,,,
2022-5-15,,,1,,,,"KINGSLAND COURT,BONHAM RD|金麗閣,般咸道",,,,,
2022-6-15,,,1,,,,"KINGSLAND COURT,BONHAM RD|金麗閣,般咸道",,,,,
2022-7-15,,,1,,,,"KINGSLAND COURT,BONHAM RD|金麗閣,般咸道",,,,,
2022-8-15,,,1,,,,"KINGSLAND COURT,BONHAM RD|金麗閣,般咸道",,,,,
2022-9-15,,,1,,,,"KINGSLAND COURT,BONHAM RD|金麗閣,般咸道",,,,,
2022-10-15,,,1,,,,"KINGSLAND COURT,BONHAM RD|金麗閣,般咸道",,,,,
2022-11-15,,,1,,,,"KINGSLAND COURT,BONHAM RD|金麗閣,般咸道",,,,,
2022-12-15,,,1,,,,"KINGSLAND COURT,BONHAM RD|金麗閣,般咸道",,,,,
