,subjFloor,floorLv,unitNo,price,npsf,nfa,com_score,com_no,district
5.0/F低層A,5.0,低層,A,4513955,6059,745,186,2,NYL
9.0/F中層A,9.0,中層,A,4616765,6197,745,188,2,NYL
14.0/F高層A,14.0,高層,A,4753100,6380,745,204,2,NYL
5.0/F低層B,5.0,低層,B,3271090,6002,545,139,2,NYL
9.0/F中層B,9.0,中層,B,3353385,6153,545,139,2,NYL
14.0/F高層B,14.0,高層,B,3456935,6343,545,139,2,NYL
5.0/F低層C,5.0,低層,C,3224130,5905,546,179,2,NYL
9.0/F中層C,9.0,中層,C,3286779,6053,543,177,2,NYL
14.0/F高層C,14.0,高層,C,3387234,6238,543,174,2,NYL
5.0/F低層D,5.0,低層,D,3928308,5934,662,143,2,NYL
9.0/F中層D,9.0,中層,D,4017678,6069,662,143,2,NYL
14.0/F高層D,14.0,高層,D,4130880,6240,662,143,2,NYL
5.0/F低層E,5.0,低層,E,2737920,5704,480,72,1,NYL
9.0/F中層E,9.0,中層,E,2791680,5816,480,68,1,NYL
14.0/F高層E,14.0,高層,E,,,,,,NYL
