,subjFloor,floorLv,unitNo,price,npsf,nfa,com_score,com_no,district
23.0/F低層A,23.0,低層,A,34330722,29957,1146,368,3,KKAI
68.0/F中層A,68.0,中層,A,,,,,,KKAI
102.0/F高層A,102.0,高層,A,,,,,,KKAI
23.0/F低層B,23.0,低層,B,24070365,27015,891,343,3,KKAI
68.0/F中層B,68.0,中層,B,,,,,,KKAI
102.0/F高層B,102.0,高層,B,,,,,,KKAI
23.0/F低層BC,23.0,低層,BC,44040595,30605,1439,273,5,KKAI
68.0/F中層BC,68.0,中層,BC,,,,,,KKAI
102.0/F高層BC,102.0,高層,BC,,,,,,KKAI
23.0/F低層C,23.0,低層,C,12493044,22756,549,341,3,KKAI
68.0/F中層C,68.0,中層,C,,,,,,KKAI
102.0/F高層C,102.0,高層,C,,,,,,KKAI
23.0/F低層D,23.0,低層,D,10958166,21114,519,367,3,KKAI
68.0/F中層D,68.0,中層,D,13840173,26667,519,61,1,KKAI
102.0/F高層D,102.0,高層,D,,,,,,KKAI
23.0/F低層E,23.0,低層,E,11424525,21761,525,356,3,KKAI
68.0/F中層E,68.0,中層,E,14266350,27174,525,61,1,KKAI
102.0/F高層E,102.0,高層,E,,,,,,KKAI
23.0/F低層F,23.0,低層,F,23205540,26430,878,351,3,KKAI
68.0/F中層F,68.0,中層,F,,,,,,KKAI
102.0/F高層F,102.0,高層,F,,,,,,KKAI
