,subjFloor,floorLv,unitNo,price,npsf,nfa,com_score,com_no,district
15.0/F低層A,15.0,低層,A,9881520,17336,570,381,3,KSPK
26.0/F中層A,26.0,中層,A,9459150,16595,570,321,3,KSPK
37.0/F高層A,37.0,高層,A,9891210,17353,570,353,3,KSPK
15.0/F低層B,15.0,低層,B,9882810,17430,567,307,4,KSPK
26.0/F中層B,26.0,中層,B,8921745,15735,567,354,3,KSPK
37.0/F高層B,37.0,高層,B,9243801,16303,567,329,3,KSPK
15.0/F低層C,15.0,低層,C,13180104,15918,828,324,4,KSPK
26.0/F中層C,26.0,中層,C,14013900,16925,828,336,3,KSPK
37.0/F高層C,37.0,高層,C,15215328,18376,828,330,4,KSPK
15.0/F低層D,15.0,低層,D,13563468,16381,828,201,3,KSPK
26.0/F中層D,26.0,中層,D,14724324,17783,828,362,4,KSPK
37.0/F高層D,37.0,高層,D,15215328,18376,828,187,3,KSPK
