,subjFloor,floorLv,unitNo,price,npsf,nfa,com_score,com_no,district
6.0/F低層A,6.0,低層,A,5774786,15482,373,347,5,HA
14.0/F中層A,14.0,中層,A,5945993,15941,373,304,4,HA
22.0/F高層A,22.0,高層,A,6208585,16645,373,313,4,HA
6.0/F低層B,6.0,低層,B,5772751,15991,361,324,4,HA
14.0/F中層B,14.0,中層,B,6003791,16631,361,327,4,HA
22.0/F高層B,22.0,高層,B,6258296,17336,361,334,4,HA
6.0/F低層C,6.0,低層,C,5513856,16608,332,327,5,HA
14.0/F中層C,14.0,中層,C,5728992,17256,332,335,5,HA
22.0/F高層C,22.0,高層,C,5949772,17921,332,337,5,HA
6.0/F低層D,6.0,低層,D,5482980,16515,332,332,3,HA
14.0/F中層D,14.0,中層,D,5726668,17249,332,348,4,HA
22.0/F高層D,22.0,高層,D,5944792,17906,332,355,4,HA
6.0/F低層E,6.0,低層,E,4578728,14866,308,157,2,HA
14.0/F中層E,14.0,中層,E,4756136,15442,308,177,2,HA
22.0/F高層E,22.0,高層,E,4956336,16092,308,173,2,HA
6.0/F低層F,6.0,低層,F,5195668,16924,307,339,4,HA
14.0/F中層F,14.0,中層,F,5397367,17581,307,339,4,HA
22.0/F高層F,22.0,高層,F,5619021,18303,307,382,4,HA
