,subjFloor,floorLv,unitNo,price,npsf,nfa,com_score,com_no,district
8.0/F低層1,8.0,低層,1,4488555,6959,645,388,4,NSS
20.0/F中層1,20.0,中層,1,5466880,8542,640,325,3,NSS
33.0/F高層1,33.0,高層,1,5023764,7899,636,331,4,NSS
8.0/F低層10,8.0,低層,10,4109611,7513,547,327,4,NSS
20.0/F中層10,20.0,中層,10,3912315,7205,543,328,4,NSS
33.0/F高層10,33.0,高層,10,4097946,7617,538,349,4,NSS
8.0/F低層11,8.0,低層,11,3978331,7273,547,362,4,NSS
20.0/F中層11,20.0,中層,11,4089333,7531,543,369,4,NSS
33.0/F高層11,33.0,高層,11,4213078,7831,538,365,4,NSS
8.0/F低層12,8.0,低層,12,4045195,7505,539,369,4,NSS
20.0/F中層12,20.0,中層,12,4084003,7577,539,364,4,NSS
33.0/F高層12,33.0,高層,12,4189059,7889,531,339,4,NSS
8.0/F低層13,8.0,低層,13,4058670,7530,539,326,4,NSS
20.0/F中層13,20.0,中層,13,3988872,7512,531,325,4,NSS
33.0/F高層13,33.0,高層,13,4151889,7819,531,316,4,NSS
8.0/F低層14,8.0,低層,14,3864240,8945,432,356,4,NSS
20.0/F中層14,20.0,中層,14,3184350,7475,426,377,4,NSS
33.0/F高層14,33.0,高層,14,3307464,7764,426,348,3,NSS
8.0/F低層15,8.0,低層,15,3262464,7552,432,349,5,NSS
20.0/F中層15,20.0,中層,15,3246912,7516,432,365,5,NSS
33.0/F高層15,33.0,高層,15,3349212,7862,426,316,4,NSS
8.0/F低層16,8.0,低層,16,4861365,7537,645,382,4,NSS
20.0/F中層16,20.0,中層,16,4981760,7784,640,381,4,NSS
33.0/F高層16,33.0,高層,16,5058108,7953,636,373,4,NSS
8.0/F低層17,8.0,低層,17,,,,,,NSS
20.0/F中層17,20.0,中層,17,,,,,,NSS
33.0/F高層17,33.0,高層,17,,,,,,NSS
8.0/F低層18,8.0,低層,18,,,,,,NSS
20.0/F中層18,20.0,中層,18,,,,,,NSS
33.0/F高層18,33.0,高層,18,,,,,,NSS
8.0/F低層19,8.0,低層,19,,,,,,NSS
20.0/F中層19,20.0,中層,19,,,,,,NSS
33.0/F高層19,33.0,高層,19,,,,,,NSS
8.0/F低層2,8.0,低層,2,4109611,7513,547,327,4,NSS
20.0/F中層2,20.0,中層,2,4628532,8524,543,322,4,NSS
33.0/F高層2,33.0,高層,2,4228680,7860,538,318,4,NSS
8.0/F低層20,8.0,低層,20,,,,,,NSS
20.0/F中層20,20.0,中層,20,,,,,,NSS
33.0/F高層20,33.0,高層,20,,,,,,NSS
8.0/F低層21,8.0,低層,21,,,,,,NSS
20.0/F中層21,20.0,中層,21,,,,,,NSS
33.0/F高層21,33.0,高層,21,,,,,,NSS
8.0/F低層22,8.0,低層,22,,,,,,NSS
20.0/F中層22,20.0,中層,22,,,,,,NSS
33.0/F高層22,33.0,高層,22,,,,,,NSS
8.0/F低層23,8.0,低層,23,,,,,,NSS
20.0/F中層23,20.0,中層,23,,,,,,NSS
33.0/F高層23,33.0,高層,23,,,,,,NSS
8.0/F低層24,8.0,低層,24,,,,,,NSS
20.0/F中層24,20.0,中層,24,,,,,,NSS
33.0/F高層24,33.0,高層,24,,,,,,NSS
8.0/F低層3,8.0,低層,3,4109611,7513,547,327,4,NSS
20.0/F中層3,20.0,中層,3,4132585,7555,547,324,4,NSS
33.0/F高層3,33.0,高層,3,4228680,7860,538,318,4,NSS
8.0/F低層4,8.0,低層,4,3924998,7282,539,356,4,NSS
20.0/F中層4,20.0,中層,4,3997520,7472,535,367,4,NSS
33.0/F高層4,33.0,高層,4,4138083,7793,531,355,4,NSS
8.0/F低層5,8.0,低層,5,4058670,7530,539,326,4,NSS
20.0/F中層5,20.0,中層,5,4013570,7502,535,326,4,NSS
33.0/F高層5,33.0,高層,5,4108347,7737,531,326,4,NSS
8.0/F低層6,8.0,低層,6,3264192,7556,432,338,4,NSS
20.0/F中層6,20.0,中層,6,3277560,7640,429,343,4,NSS
33.0/F高層6,33.0,高層,6,3359010,7885,426,363,4,NSS
8.0/F低層7,8.0,低層,7,3262464,7552,432,349,5,NSS
20.0/F中層7,20.0,中層,7,3228225,7525,429,364,5,NSS
33.0/F高層7,33.0,高層,7,3349212,7862,426,316,4,NSS
8.0/F低層8,8.0,低層,8,4923285,7633,645,351,3,NSS
20.0/F中層8,20.0,中層,8,5122590,7942,645,343,3,NSS
33.0/F高層8,33.0,高層,8,5142060,8085,636,381,4,NSS
8.0/F低層9,8.0,低層,9,4823310,7478,645,348,4,NSS
20.0/F中層9,20.0,中層,9,4970370,7706,645,386,4,NSS
33.0/F高層9,33.0,高層,9,4969704,7814,636,337,3,NSS
