,subjFloor,floorLv,unitNo,price,npsf,nfa,com_score,com_no,district
7.0/F低層1,7.0,低層,1,5922077,10709,553,339,3,KYT
19.0/F中層1,19.0,中層,1,6241158,11286,553,365,3,KYT
31.0/F高層1,31.0,高層,1,6673051,12067,553,356,3,KYT
7.0/F低層10,7.0,低層,10,4540400,11351,400,331,4,KYT
19.0/F中層10,19.0,中層,10,4785600,11964,400,364,4,KYT
31.0/F高層10,31.0,高層,10,5205600,13014,400,378,4,KYT
7.0/F低層2,7.0,低層,2,5900510,10670,553,316,4,KYT
19.0/F中層2,19.0,中層,2,6052585,10945,553,354,4,KYT
31.0/F高層2,31.0,高層,2,6172033,11161,553,355,3,KYT
7.0/F低層3,7.0,低層,3,4446400,11116,400,358,4,KYT
19.0/F中層3,19.0,中層,3,4736400,11841,400,379,4,KYT
31.0/F高層3,31.0,高層,3,5135200,12838,400,364,4,KYT
7.0/F低層4,7.0,低層,4,7363197,11523,639,338,5,KYT
19.0/F中層4,19.0,中層,4,7680780,12020,639,357,5,KYT
31.0/F高層4,31.0,高層,4,8574741,13419,639,345,5,KYT
7.0/F低層5,7.0,低層,5,4389600,10974,400,391,4,KYT
19.0/F中層5,19.0,中層,5,4636400,11591,400,371,3,KYT
31.0/F高層5,31.0,高層,5,4907200,12268,400,353,3,KYT
7.0/F低層6,7.0,低層,6,6172033,11161,553,312,4,KYT
19.0/F中層6,19.0,中層,6,6456828,11676,553,348,4,KYT
31.0/F高層6,31.0,高層,6,6966694,12598,553,331,4,KYT
7.0/F低層7,7.0,低層,7,6237840,11280,553,342,4,KYT
19.0/F中層7,19.0,中層,7,6406505,11585,553,364,4,KYT
31.0/F高層7,31.0,高層,7,7035819,12723,553,340,4,KYT
7.0/F低層8,7.0,低層,8,4410000,11025,400,397,4,KYT
19.0/F中層8,19.0,中層,8,4677200,11693,400,360,3,KYT
31.0/F高層8,31.0,高層,8,5018000,12545,400,375,3,KYT
7.0/F低層9,7.0,低層,9,7363197,11523,639,338,5,KYT
19.0/F中層9,19.0,中層,9,7680780,12020,639,357,5,KYT
31.0/F高層9,31.0,高層,9,8574741,13419,639,345,5,KYT
