,subjFloor,floorLv,unitNo,price,npsf,nfa,com_score,com_no,district
15.0/F低層A,15.0,低層,A,5572364,11212,497,369,3,NTSW
32.0/F中層A,32.0,中層,A,5712518,11494,497,371,3,NTSW
50.0/F高層A,50.0,高層,A,6040538,12154,497,413,3,NTSW
15.0/F低層B,15.0,低層,B,5819100,11410,510,353,4,NTSW
32.0/F中層B,32.0,中層,B,5598780,10978,510,353,3,NTSW
50.0/F高層B,50.0,高層,B,5970570,11707,510,392,3,NTSW
15.0/F低層C,15.0,低層,C,5599176,11176,501,371,3,NTSW
32.0/F中層C,32.0,中層,C,6002982,11982,501,394,3,NTSW
50.0/F高層C,50.0,高層,C,6344163,12663,501,416,4,NTSW
15.0/F低層D,15.0,低層,D,5652211,11237,503,388,3,NTSW
32.0/F中層D,32.0,中層,D,5843854,11618,503,372,3,NTSW
50.0/F高層D,50.0,高層,D,5854920,11640,503,392,3,NTSW
15.0/F低層E,15.0,低層,E,5849387,11629,503,396,4,NTSW
32.0/F中層E,32.0,中層,E,6186900,12300,503,365,4,NTSW
50.0/F高層E,50.0,高層,E,6013868,11956,503,358,4,NTSW
15.0/F低層F,15.0,低層,F,5599176,11176,501,349,3,NTSW
32.0/F中層F,32.0,中層,F,5847171,11671,501,339,3,NTSW
50.0/F高層F,50.0,高層,F,6071619,12119,501,326,3,NTSW
15.0/F低層G,15.0,低層,G,6224040,12204,510,333,3,NTSW
32.0/F中層G,32.0,中層,G,5327460,10446,510,354,3,NTSW
50.0/F高層G,50.0,高層,G,5735970,11247,510,402,3,NTSW
15.0/F低層H,15.0,低層,H,5787565,11645,497,358,3,NTSW
32.0/F中層H,32.0,中層,H,5963006,11998,497,395,3,NTSW
50.0/F高層H,50.0,高層,H,6335259,12747,497,400,3,NTSW
