,subjFloor,floorLv,unitNo,price,npsf,nfa,com_score,com_no,district
9.0/F低層1,9.0,低層,1,2338197,6137,381,295,4,NTP
20.0/F中層1,20.0,中層,1,2455926,6446,381,314,4,NTP
29.0/F高層1,29.0,高層,1,2550033,6693,381,286,4,NTP
9.0/F低層10,9.0,低層,10,2352294,6174,381,256,4,NTP
20.0/F中層10,20.0,中層,10,2470404,6484,381,270,4,NTP
29.0/F高層10,29.0,高層,10,2564892,6732,381,242,4,NTP
9.0/F低層11,9.0,低層,11,2352294,6174,381,256,4,NTP
20.0/F中層11,20.0,中層,11,2470404,6484,381,270,4,NTP
29.0/F高層11,29.0,高層,11,2564892,6732,381,242,4,NTP
9.0/F低層12,9.0,低層,12,2919420,5958,490,264,4,NTP
20.0/F中層12,20.0,中層,12,3065440,6256,490,278,4,NTP
29.0/F高層12,29.0,高層,12,3186470,6503,490,250,4,NTP
9.0/F低層13,9.0,低層,13,2958620,6038,490,298,4,NTP
20.0/F中層13,20.0,中層,13,3104640,6336,490,312,4,NTP
29.0/F高層13,29.0,高層,13,3226650,6585,490,279,4,NTP
9.0/F低層18,9.0,低層,18,2352294,6174,381,256,4,NTP
20.0/F中層18,20.0,中層,18,2470404,6484,381,270,4,NTP
29.0/F高層18,29.0,高層,18,2564892,6732,381,242,4,NTP
9.0/F低層20,9.0,低層,20,2905700,5930,490,299,4,NTP
20.0/F中層20,20.0,中層,20,3052210,6229,490,314,4,NTP
29.0/F高層20,29.0,高層,20,3173730,6477,490,281,4,NTP
9.0/F低層23,9.0,低層,23,2352294,6174,381,256,4,NTP
20.0/F中層23,20.0,中層,23,2470404,6484,381,270,4,NTP
29.0/F高層23,29.0,高層,23,2564892,6732,381,242,4,NTP
9.0/F低層24,9.0,低層,24,2352294,6174,381,256,4,NTP
20.0/F中層24,20.0,中層,24,2470404,6484,381,270,4,NTP
29.0/F高層24,29.0,高層,24,2564892,6732,381,242,4,NTP
9.0/F低層4,9.0,低層,4,2910600,5940,490,353,5,NTP
20.0/F中層4,20.0,中層,4,3075240,6276,490,319,4,NTP
29.0/F高層4,29.0,高層,4,3181080,6492,490,345,5,NTP
9.0/F低層5,9.0,低層,5,2919420,5958,490,264,4,NTP
20.0/F中層5,20.0,中層,5,3065440,6256,490,278,4,NTP
29.0/F高層5,29.0,高層,5,3186470,6503,490,250,4,NTP
9.0/F低層7,9.0,低層,7,2343912,6152,381,294,4,NTP
20.0/F中層7,20.0,中層,7,2462784,6464,381,310,4,NTP
29.0/F高層7,29.0,高層,7,2557653,6713,381,277,4,NTP
