,subjFloor,floorLv,unitNo,price,npsf,nfa,com_score,com_no,district
3.0/F低層D1,3.0,低層,D1,3289230,10442,315,242,3,KKT
5.0/F中層D1,5.0,中層,D1,2894220,9188,315,236,3,KKT
7.0/F高層D1,7.0,高層,D1,2923200,9280,315,230,3,KKT
3.0/F低層D10,3.0,低層,D10,2492917,11179,223,288,4,KKT
5.0/F中層D10,5.0,中層,D10,2514771,11277,223,288,4,KKT
7.0/F高層D10,7.0,高層,D10,2538855,11385,223,280,4,KKT
3.0/F低層D2,3.0,低層,D2,3202589,10711,299,290,3,KKT
5.0/F中層D2,5.0,中層,D2,3233984,10816,299,288,3,KKT
7.0/F高層D2,7.0,高層,D2,3266276,10924,299,281,3,KKT
3.0/F低層D9,3.0,低層,D9,2384760,11356,210,269,4,KKT
5.0/F中層D9,5.0,中層,D9,2349270,11187,210,366,4,KKT
7.0/F高層D9,7.0,高層,D9,2428650,11565,210,261,4,KKT
3.0/F低層E11,3.0,低層,E11,2492917,11179,223,288,4,KKT
5.0/F中層E11,5.0,中層,E11,2514771,11277,223,288,4,KKT
7.0/F高層E11,7.0,高層,E11,2538855,11385,223,280,4,KKT
3.0/F低層E12,3.0,低層,E12,2574250,10297,250,343,4,KKT
5.0/F中層E12,5.0,中層,E12,2479983,11121,223,338,4,KKT
7.0/F高層E12,7.0,高層,E12,2503621,11227,223,329,4,KKT
3.0/F低層E3,3.0,低層,E3,2730767,9133,299,395,4,KKT
5.0/F中層E3,5.0,中層,E3,3242356,10844,299,291,3,KKT
7.0/F高層E3,7.0,高層,E3,3140480,11216,280,270,3,KKT
3.0/F低層E4,3.0,低層,E4,3195712,10688,299,251,3,KKT
5.0/F中層E4,5.0,中層,E4,2841098,9502,299,245,3,KKT
7.0/F高層E4,7.0,高層,E4,2869503,9597,299,239,3,KKT
3.0/F低層E5,3.0,低層,E5,3173287,10613,299,294,3,KKT
5.0/F中層E5,5.0,中層,E5,2876380,9620,299,288,3,KKT
7.0/F高層E5,7.0,高層,E5,2905084,9716,299,281,3,KKT
3.0/F低層F14,3.0,低層,F14,3141927,10797,291,246,3,KKT
5.0/F中層F14,5.0,中層,F14,2796510,9610,291,243,3,KKT
7.0/F高層F14,7.0,高層,F14,2824446,9706,291,237,3,KKT
3.0/F低層F15,3.0,低層,F15,3539715,9645,367,218,3,KKT
5.0/F中層F15,5.0,中層,F15,2876913,7839,367,139,2,KKT
7.0/F高層F15,7.0,高層,F15,2904805,7915,367,135,2,KKT
3.0/F低層F6,3.0,低層,F6,2798640,9360,299,319,3,KKT
5.0/F中層F6,5.0,中層,F6,2832427,9473,299,282,3,KKT
7.0/F高層F6,7.0,高層,F6,2750440,9823,280,268,3,KKT
3.0/F低層F7,3.0,低層,F7,2591592,10408,249,296,4,KKT
5.0/F中層F7,5.0,中層,F7,2617488,10512,249,296,4,KKT
7.0/F高層F7,7.0,高層,F7,2643135,10615,249,288,4,KKT
3.0/F低層F8,3.0,低層,F8,2607264,9876,264,235,3,KKT
5.0/F中層F8,5.0,中層,F8,2633136,9974,264,235,3,KKT
7.0/F高層F8,7.0,高層,F8,2659272,10073,264,229,3,KKT
