,subjFloor,floorLv,unitNo,price,npsf,nfa,com_score,com_no,district
10.0/F低層A,10.0,低層,A,34076736,31788,1072,377,3,KKAI
21.0/F中層A,21.0,中層,A,35566816,33178,1072,428,3,KKAI
31.0/F高層A,31.0,高層,A,36786752,34316,1072,407,3,KKAI
10.0/F低層C,10.0,低層,C,19399000,25525,760,393,4,KKAI
21.0/F中層C,21.0,中層,C,19967480,26273,760,401,4,KKAI
31.0/F高層C,31.0,高層,C,20447800,26905,760,358,4,KKAI
10.0/F低層E,10.0,低層,E,16415145,24985,657,434,3,KKAI
21.0/F中層E,21.0,中層,E,16769925,25525,657,432,3,KKAI
31.0/F高層E,31.0,高層,E,17392761,26473,657,379,3,KKAI
10.0/F低層F,10.0,低層,F,32861582,30914,1063,347,3,KKAI
21.0/F中層F,21.0,中層,F,34529429,32483,1063,364,3,KKAI
31.0/F高層F,31.0,高層,F,35902825,33775,1063,325,3,KKAI
10.0/F低層H,10.0,低層,H,12877788,23716,543,416,3,KKAI
21.0/F中層H,21.0,中層,H,13534818,24926,543,430,3,KKAI
31.0/F高層H,31.0,高層,H,13932837,25659,543,413,3,KKAI
10.0/F低層J,10.0,低層,J,11037597,23043,479,434,3,KKAI
21.0/F中層J,21.0,中層,J,11200936,23384,479,432,3,KKAI
31.0/F高層J,31.0,高層,J,12311258,25702,479,438,3,KKAI
