,subjFloor,floorLv,unitNo,price,npsf,nfa,com_score,com_no,district
11.0/F低層A,11.0,低層,A,6467616,15852,408,378,3,HKT
25.0/F中層A,25.0,中層,A,6960888,17061,408,353,4,HKT
38.0/F高層A,38.0,高層,A,7529640,18455,408,333,4,HKT
11.0/F低層B,11.0,低層,B,15173445,18849,805,322,3,HKT
25.0/F中層B,25.0,中層,B,16292395,20239,805,377,4,HKT
38.0/F高層B,38.0,高層,B,17348555,21551,805,314,4,HKT
11.0/F低層C,11.0,低層,C,8597340,17690,486,337,4,HKT
25.0/F中層C,25.0,中層,C,8814582,18137,486,375,4,HKT
38.0/F高層C,38.0,高層,C,9398754,19339,486,321,3,HKT
11.0/F低層D,11.0,低層,D,8460774,17409,486,351,4,HKT
25.0/F中層D,25.0,中層,D,9230598,18993,486,358,4,HKT
38.0/F高層D,38.0,高層,D,9429372,19402,486,353,4,HKT
11.0/F低層E,11.0,低層,E,14744380,18316,805,356,3,HKT
25.0/F中層E,25.0,中層,E,16107245,20009,805,391,4,HKT
38.0/F高層E,38.0,高層,E,17342920,21544,805,359,4,HKT
11.0/F低層F,11.0,低層,F,7150200,17525,408,378,4,HKT
25.0/F中層F,25.0,中層,F,7727112,18939,408,362,4,HKT
38.0/F高層F,38.0,高層,F,7734048,18956,408,339,4,HKT
