,subjFloor,floorLv,unitNo,price,npsf,nfa,com_score,com_no,district
5.0/F低層A,5.0,低層,A,4252485,14921,285,340,3,KCSW
8.0/F中層A,8.0,中層,A,4332000,15200,285,343,3,KCSW
11.0/F高層A,11.0,高層,A,3536736,15512,228,343,3,KCSW
5.0/F低層B,5.0,低層,B,4253910,14926,285,390,4,KCSW
8.0/F中層B,8.0,中層,B,4334565,15209,285,387,4,KCSW
11.0/F高層B,11.0,高層,B,4416930,15498,285,379,4,KCSW
5.0/F低層C,5.0,低層,C,4015275,14601,275,329,3,KCSW
8.0/F中層C,8.0,中層,C,4129950,15018,275,360,4,KCSW
11.0/F高層C,11.0,高層,C,4210250,15310,275,352,4,KCSW
5.0/F低層D,5.0,低層,D,3820025,13891,275,333,3,KCSW
8.0/F中層D,8.0,中層,D,3951750,14370,275,392,4,KCSW
11.0/F高層D,11.0,高層,D,4031500,14660,275,383,4,KCSW
5.0/F低層E,5.0,低層,E,3297885,15339,215,306,4,KCSW
8.0/F中層E,8.0,中層,E,3360665,15631,215,306,4,KCSW
11.0/F高層E,11.0,高層,E,3426025,15935,215,300,4,KCSW
5.0/F低層F,5.0,低層,F,3283265,15271,215,343,4,KCSW
8.0/F中層F,8.0,中層,F,3334220,15508,215,379,4,KCSW
11.0/F高層F,11.0,高層,F,3410760,15864,215,337,4,KCSW
