,subjFloor,floorLv,unitNo,price,npsf,nfa,com_score,com_no,district
5.0/F低層1,5.0,低層,1,4357500,10375,420,330,4,NKC
12.0/F中層1,12.0,中層,1,4573380,10889,420,344,4,NKC
18.0/F高層1,18.0,高層,1,4280220,10191,420,350,3,NKC
5.0/F低層2,5.0,低層,2,4825800,11490,420,405,4,NKC
12.0/F中層2,12.0,中層,2,4910640,11692,420,335,3,NKC
18.0/F高層2,18.0,高層,2,5049240,12022,420,335,3,NKC
5.0/F低層3,5.0,低層,3,5702840,10967,520,326,3,NKC
12.0/F中層3,12.0,中層,3,5893160,11333,520,356,3,NKC
18.0/F高層3,18.0,高層,3,6259760,12038,520,346,3,NKC
5.0/F低層4,5.0,低層,4,5623800,10815,520,320,4,NKC
12.0/F中層4,12.0,中層,4,5920720,11386,520,333,4,NKC
18.0/F高層4,18.0,高層,4,6082960,11698,520,333,4,NKC
5.0/F低層5,5.0,低層,5,4936680,11754,420,390,4,NKC
12.0/F中層5,12.0,中層,5,4959780,11809,420,376,4,NKC
18.0/F高層5,18.0,高層,5,5087880,12114,420,362,4,NKC
5.0/F低層6,5.0,低層,6,4859400,11570,420,371,4,NKC
12.0/F中層6,12.0,中層,6,4998840,11902,420,370,4,NKC
18.0/F高層6,18.0,高層,6,5127360,12208,420,359,4,NKC
5.0/F低層7,5.0,低層,7,5722080,11004,520,351,4,NKC
12.0/F中層7,12.0,中層,7,5924360,11393,520,361,4,NKC
18.0/F高層7,18.0,高層,7,6291480,12099,520,350,4,NKC
5.0/F低層8,5.0,低層,8,5493280,10564,520,399,4,NKC
12.0/F中層8,12.0,中層,8,5713760,10988,520,404,4,NKC
18.0/F高層8,18.0,高層,8,5878600,11305,520,389,4,NKC
