,subjFloor,floorLv,unitNo,price,npsf,nfa,com_score,com_no,district
8.0/F低層1,8.0,低層,1,4643520,11056,420,196,3,KKT
15.0/F中層1,15.0,中層,1,4846380,11539,420,189,3,KKT
22.0/F高層1,22.0,高層,1,5054700,12035,420,182,3,KKT
8.0/F低層10,8.0,低層,10,5014290,10830,463,203,3,KKT
15.0/F中層10,15.0,中層,10,5230974,11298,463,196,3,KKT
22.0/F高層10,22.0,高層,10,5453677,11779,463,189,3,KKT
8.0/F低層11,8.0,低層,11,4821520,10958,440,204,3,KKT
15.0/F中層11,15.0,中層,11,5030960,11434,440,197,3,KKT
22.0/F高層11,22.0,高層,11,5245240,11921,440,190,3,KKT
8.0/F低層12,8.0,低層,12,5308952,10492,506,235,3,KKT
15.0/F中層12,15.0,中層,12,5535640,10940,506,225,3,KKT
22.0/F高層12,22.0,高層,12,5768906,11401,506,214,3,KKT
8.0/F低層2,8.0,低層,2,4184840,9511,440,225,3,KKT
15.0/F中層2,15.0,中層,2,4346320,9878,440,230,3,KKT
22.0/F高層2,22.0,高層,2,5089480,11567,440,287,4,KKT
8.0/F低層3,8.0,低層,3,5104290,11734,435,232,3,KKT
15.0/F中層3,15.0,中層,3,5046435,11601,435,372,4,KKT
22.0/F高層3,22.0,高層,3,5488830,12618,435,211,3,KKT
8.0/F低層4,8.0,低層,4,4733670,10882,435,287,4,KKT
15.0/F中層4,15.0,中層,4,4928115,11329,435,291,4,KKT
22.0/F高層4,22.0,高層,4,5127780,11788,435,288,4,KKT
8.0/F低層5,8.0,低層,5,4863850,10930,445,205,3,KKT
15.0/F中層5,15.0,中層,5,5074780,11404,445,198,3,KKT
22.0/F高層5,22.0,高層,5,5276810,11858,445,341,4,KKT
8.0/F低層6,8.0,低層,6,4865185,10933,445,243,3,KKT
15.0/F中層6,15.0,中層,6,5071220,11396,445,233,3,KKT
22.0/F高層6,22.0,高層,6,5282150,11870,445,222,3,KKT
8.0/F低層7,8.0,低層,7,4808250,10685,450,272,4,KKT
15.0/F中層7,15.0,中層,7,4998600,11108,450,276,4,KKT
22.0/F高層7,22.0,高層,7,5191200,11536,450,279,4,KKT
8.0/F低層8,8.0,低層,8,4825890,11094,435,235,3,KKT
15.0/F中層8,15.0,中層,8,5039040,11584,435,232,3,KKT
22.0/F高層8,22.0,高層,8,5291340,12164,435,261,3,KKT
8.0/F低層9,8.0,低層,9,5969475,9255,645,152,2,KKT
15.0/F中層9,15.0,中層,9,6163620,9556,645,156,2,KKT
22.0/F高層9,22.0,高層,9,6662205,10329,645,297,3,KKT
