,subjFloor,floorLv,unitNo,price,npsf,nfa,com_score,com_no,district
4.0/F低層A,4.0,低層,A,4535498,12529,362,367,4,NTM
10.0/F中層A,10.0,中層,A,4694416,12968,362,389,4,NTM
15.0/F高層A,15.0,高層,A,4755594,13137,362,372,3,NTM
4.0/F低層B,4.0,低層,B,4777443,10593,451,381,4,NTM
10.0/F中層B,10.0,中層,B,4890193,10843,451,343,3,NTM
15.0/F高層B,15.0,高層,B,5006100,11100,451,369,4,NTM
4.0/F低層C,4.0,低層,C,4668720,11760,397,334,3,NTM
10.0/F中層C,10.0,中層,C,4792584,12072,397,358,3,NTM
15.0/F高層C,15.0,高層,C,4898583,12339,397,347,3,NTM
4.0/F低層D,4.0,低層,D,5686248,10011,568,341,3,NTM
10.0/F中層D,10.0,中層,D,5807800,10225,568,413,3,NTM
15.0/F高層D,15.0,高層,D,5966840,10505,568,419,3,NTM
4.0/F低層E,4.0,低層,E,5643080,9935,568,385,4,NTM
10.0/F中層E,10.0,中層,E,5804392,10219,568,400,4,NTM
15.0/F高層E,15.0,高層,E,5940144,10458,568,406,4,NTM
4.0/F低層F,4.0,低層,F,4780277,12041,397,330,3,NTM
10.0/F中層F,10.0,中層,F,4907714,12362,397,339,3,NTM
15.0/F高層F,15.0,高層,F,5011728,12624,397,388,3,NTM
4.0/F低層G,4.0,低層,G,4579905,10155,451,326,5,NTM
10.0/F中層G,10.0,中層,G,4759854,10554,451,381,4,NTM
15.0/F高層G,15.0,高層,G,5491827,12177,451,315,4,NTM
4.0/F低層H,4.0,低層,H,4505452,12446,362,314,4,NTM
10.0/F中層H,10.0,中層,H,4660388,12874,362,327,3,NTM
15.0/F高層H,15.0,高層,H,4772608,13184,362,337,4,NTM
