,subjFloor,floorLv,unitNo,price,npsf,nfa,com_score,com_no,district
6.0/F低層A,6.0,低層,A,8803932,14019,628,336,4,KYT
14.0/F中層A,14.0,中層,A,9150588,14571,628,352,4,KYT
23.0/F高層A,23.0,高層,A,9648592,15364,628,375,4,KYT
6.0/F低層B,6.0,低層,B,8603744,13744,626,308,4,KYT
14.0/F中層B,14.0,中層,B,8996872,14372,626,320,4,KYT
23.0/F高層B,23.0,高層,B,9538988,15238,626,334,4,KYT
6.0/F低層C,6.0,低層,C,8414692,13442,626,367,4,KYT
14.0/F中層C,14.0,中層,C,8717676,13926,626,387,4,KYT
23.0/F高層C,23.0,高層,C,9082008,14508,626,325,3,KYT
6.0/F低層D,6.0,低層,D,8849148,14091,628,391,4,KYT
14.0/F中層D,14.0,中層,D,9082136,14462,628,327,4,KYT
23.0/F高層D,23.0,高層,D,9575744,15248,628,335,4,KYT
6.0/F低層E,6.0,低層,E,10271610,14090,729,359,4,KYT
14.0/F中層E,14.0,中層,E,10762956,14764,729,351,4,KYT
23.0/F高層E,23.0,高層,E,11289294,15486,729,343,4,KYT
6.0/F低層F,6.0,低層,F,10614000,14640,725,320,3,KYT
14.0/F中層F,14.0,中層,F,11119325,15337,725,367,3,KYT
23.0/F高層F,23.0,高層,F,11404975,15731,725,391,4,KYT
6.0/F低層G,6.0,低層,G,10441450,14402,725,323,3,KYT
14.0/F中層G,14.0,中層,G,10848175,14963,725,344,3,KYT
23.0/F高層G,23.0,高層,G,11223725,15481,725,350,3,KYT
6.0/F低層H,6.0,低層,H,10816902,14838,729,329,3,KYT
14.0/F中層H,14.0,中層,H,11466441,15729,729,384,3,KYT
23.0/F高層H,23.0,高層,H,12033603,16507,729,338,3,KYT
