,subjFloor,floorLv,unitNo,price,npsf,nfa,com_score,com_no,district
5.0/F低層A,5.0,低層,A,7274792,14044,518,364,3,HQB
14.0/F中層A,14.0,中層,A,7337988,14166,518,331,3,HQB
22.0/F高層A,22.0,高層,A,9133845,14161,645,325,4,HQB
5.0/F低層B,5.0,低層,B,7152544,13808,518,370,4,HQB
14.0/F中層B,14.0,中層,B,7463862,14409,518,400,4,HQB
22.0/F高層B,22.0,高層,B,7578340,14630,518,377,4,HQB
5.0/F低層C,5.0,低層,C,6901170,13830,499,325,4,HQB
14.0/F中層C,14.0,中層,C,7196578,14422,499,354,4,HQB
22.0/F高層C,22.0,高層,C,7251967,14533,499,322,3,HQB
5.0/F低層D,5.0,低層,D,6938096,13904,499,398,4,HQB
14.0/F中層D,14.0,中層,D,7244482,14518,499,371,4,HQB
22.0/F高層D,22.0,高層,D,7436098,14902,499,344,4,HQB
5.0/F低層E,5.0,低層,E,6113552,14284,428,327,4,HQB
14.0/F中層E,14.0,中層,E,6421712,15004,428,361,4,HQB
22.0/F高層E,22.0,高層,E,6529140,15255,428,390,4,HQB
5.0/F低層F,5.0,低層,F,6003128,14026,428,362,5,HQB
14.0/F中層F,14.0,中層,F,6253936,14612,428,323,4,HQB
22.0/F高層F,22.0,高層,F,6479064,15138,428,326,4,HQB
5.0/F低層G,5.0,低層,G,6756000,14075,480,327,3,HQB
14.0/F中層G,14.0,中層,G,7091520,14774,480,357,3,HQB
22.0/F高層G,22.0,高層,G,7152480,14901,480,347,3,HQB
5.0/F低層H,5.0,低層,H,6494880,13531,480,358,4,HQB
14.0/F中層H,14.0,中層,H,6814080,14196,480,393,4,HQB
22.0/F高層H,22.0,高層,H,7101600,14795,480,386,4,HQB
