,subjFloor,floorLv,unitNo,price,npsf,nfa,com_score,com_no,district
13.0/F低層A,13.0,低層,A,15595840,18745,832,343,4,HQB
28.0/F中層A,28.0,中層,A,16845504,20247,832,282,4,HQB
41.0/F高層A,41.0,高層,A,17390464,20902,832,154,2,HQB
13.0/F低層B,13.0,低層,B,16086779,21139,761,322,3,HQB
28.0/F中層B,28.0,中層,B,17792180,23380,761,353,4,HQB
41.0/F高層B,41.0,高層,B,18821052,24732,761,348,5,HQB
13.0/F低層C,13.0,低層,C,12389958,19299,642,335,3,HQB
28.0/F中層C,28.0,中層,C,13694502,21331,642,328,4,HQB
41.0/F高層C,41.0,高層,C,15966540,24870,642,308,5,HQB
13.0/F低層D,13.0,低層,D,12411075,19545,635,383,4,HQB
28.0/F中層D,28.0,中層,D,13458190,21194,635,377,4,HQB
41.0/F高層D,41.0,高層,D,15337155,24153,635,332,5,HQB
13.0/F低層E,13.0,低層,E,17723687,19541,907,344,4,HQB
28.0/F中層E,28.0,中層,E,20940816,23088,907,364,4,HQB
41.0/F高層E,41.0,高層,E,22437366,24738,907,324,4,HQB
13.0/F低層F,13.0,低層,F,18012800,21650,832,337,3,HQB
28.0/F中層F,28.0,中層,F,19656832,23626,832,343,3,HQB
41.0/F高層F,41.0,高層,F,20963904,25197,832,356,4,HQB
