,subjFloor,floorLv,unitNo,price,npsf,nfa
9.0/F低層A,9.0,低層,A,6111068,11618,526
21.0/F中層A,21.0,中層,A,6387218,12143,526
32.0/F高層A,32.0,高層,A,5944852,11302,526
9.0/F低層B,9.0,低層,B,6166427,11701,527
21.0/F中層B,21.0,中層,B,6438359,12217,527
32.0/F高層B,32.0,高層,B,6688684,12692,527
9.0/F低層C,9.0,低層,C,6157662,11382,541
21.0/F中層C,21.0,中層,C,6489836,11996,541
32.0/F高層C,32.0,高層,C,6732745,12445,541
9.0/F低層D,9.0,低層,D,6151526,11762,523
21.0/F中層D,21.0,中層,D,6443360,12320,523
32.0/F高層D,32.0,高層,D,6700676,12812,523
9.0/F低層E,9.0,低層,E,6059550,11542,525
21.0/F中層E,21.0,中層,E,6398175,12187,525
32.0/F高層E,32.0,高層,E,6633375,12635,525
9.0/F低層F,9.0,低層,F,5849292,10812,541
21.0/F中層F,21.0,中層,F,6064069,11209,541
32.0/F高層F,32.0,高層,F,6278305,11605,541
9.0/F低層G,9.0,低層,G,5554053,10539,527
21.0/F中層G,21.0,中層,G,5861821,11123,527
32.0/F高層G,32.0,高層,G,6139023,11649,527
9.0/F低層H,9.0,低層,H,6215216,11816,526
21.0/F中層H,21.0,中層,H,5863848,11148,526
32.0/F高層H,32.0,高層,H,6142102,11677,526
