,subjFloor,floorLv,unitNo,price,npsf,nfa,com_score,com_no,district
4.0/F低層A,4.0,低層,A,5927922,12831,462,65,1,HSKW
6.0/F中層A,6.0,中層,A,5985672,12956,462,63,1,HSKW
9.0/F高層A,9.0,高層,A,6072528,13144,462,60,1,HSKW
4.0/F低層B,4.0,低層,B,5527144,12824,431,67,1,HSKW
6.0/F中層B,6.0,中層,B,5581019,12949,431,65,1,HSKW
9.0/F高層B,9.0,高層,B,5661616,13136,431,62,1,HSKW
4.0/F低層C,4.0,低層,C,5733669,12827,447,66,1,HSKW
6.0/F中層C,6.0,中層,C,5789991,12953,447,64,1,HSKW
9.0/F高層C,9.0,高層,C,5873580,13140,447,61,1,HSKW
4.0/F低層D,4.0,低層,D,5733669,12827,447,66,1,HSKW
6.0/F中層D,6.0,中層,D,5806083,12989,447,214,2,HSKW
9.0/F高層D,9.0,高層,D,5873580,13140,447,61,1,HSKW
4.0/F低層E,4.0,低層,E,6083316,12834,474,64,1,HSKW
6.0/F中層E,6.0,中層,E,6142566,12959,474,62,1,HSKW
9.0/F高層E,9.0,高層,E,6231678,13147,474,59,1,HSKW
4.0/F低層F,4.0,低層,F,,,,,,HSKW
6.0/F中層F,6.0,中層,F,,,,,,HSKW
9.0/F高層F,9.0,高層,F,,,,,,HSKW
4.0/F低層G,4.0,低層,G,4468596,12804,349,76,1,HSKW
6.0/F中層G,6.0,中層,G,4512221,12929,349,74,1,HSKW
9.0/F高層G,9.0,高層,G,4577484,13116,349,71,1,HSKW
4.0/F低層H,4.0,低層,H,3718233,13327,279,238,2,HSKW
6.0/F中層H,6.0,中層,H,3602448,12912,279,86,1,HSKW
9.0/F高層H,9.0,高層,H,3654621,13099,279,83,1,HSKW
4.0/F低層I,4.0,低層,I,3567573,12787,279,133,1,HSKW
6.0/F中層I,6.0,中層,I,3602448,12912,279,130,1,HSKW
9.0/F高層I,9.0,高層,I,3654621,13099,279,125,1,HSKW
4.0/F低層J,4.0,低層,J,4124880,12132,340,270,3,HSKW
6.0/F中層J,6.0,中層,J,4154120,12218,340,322,3,HSKW
9.0/F高層J,9.0,高層,J,4225520,12428,340,256,3,HSKW
