interval,size_factor,size_p,adjR2,sample_size,low_bound,up_bound
"(0, 300]",-0.18661831985906122,0.0,0.03495626928631024,23734,0,300
"(300, 400]",-0.14083475743007703,0.0,0.030749736990109855,19309,300,400
"(400, 550]",0.05948842964684173,1.1348033623903575e-11,-0.002097434977248458,6298,400,550
"(550, 800]",-0.1367357426089892,0.0,0.03676696388535361,4981,550,800
"(800, 100000]",0.1041216504875894,0.0,0.01858703259672201,6039,800,100000
"(0, 100000]",-0.09422521710298351,0.0,0.012349792311937446,60361,0,100000
