,subjFloor,floorLv,unitNo,price,npsf,nfa
7.0/F低層A,7.0,低層,A,9259887,9737,951
16.0/F中層A,16.0,中層,A,9480519,9969,951
22.0/F高層A,22.0,高層,A,9930340,10133,980
7.0/F低層B,7.0,低層,B,6473350,10825,598
16.0/F中層B,16.0,中層,B,6630624,11088,598
22.0/F高層B,22.0,高層,B,6829758,11421,598
7.0/F低層C,7.0,低層,C,6277206,10497,598
16.0/F中層C,16.0,中層,C,6592950,11025,598
22.0/F高層C,22.0,高層,C,6777732,11334,598
7.0/F低層D,7.0,低層,D,9481470,9970,951
16.0/F中層D,16.0,中層,D,9557550,10050,951
22.0/F高層D,22.0,高層,D,9787692,10292,951
7.0/F低層E,7.0,低層,E,8332329,10149,821
16.0/F中層E,16.0,中層,E,8728872,10632,821
22.0/F高層E,22.0,高層,E,8885683,10823,821
7.0/F低層F,7.0,低層,F,5603148,10734,522
16.0/F中層F,16.0,中層,F,5821344,11152,522
22.0/F高層F,22.0,高層,F,5923134,11347,522
7.0/F低層G,7.0,低層,G,5892336,11288,522
16.0/F中層G,16.0,中層,G,6065640,11620,522
22.0/F高層G,22.0,高層,G,6116796,11718,522
7.0/F低層H,7.0,低層,H,7930860,9660,821
16.0/F中層H,16.0,中層,H,8923449,10869,821
22.0/F高層H,22.0,高層,H,8509665,10365,821
