,subjFloor,floorLv,unitNo,price,npsf,nfa
2.0/F低層A,2.0,低層,A,8591092,9796,877
2.0/F中層A,2.0,中層,A,8591092,9796,877
4.0/F高層A,4.0,高層,A,8789294,10022,877
2.0/F低層B,2.0,低層,B,8863659,12537,707
2.0/F中層B,2.0,中層,B,8863659,12537,707
4.0/F高層B,4.0,高層,B,9058791,12813,707
2.0/F低層C,2.0,低層,C,8640955,12505,691
2.0/F中層C,2.0,中層,C,8640955,12505,691
4.0/F高層C,4.0,高層,C,8831671,12781,691
2.0/F低層D,2.0,低層,D,8502285,12485,681
2.0/F中層D,2.0,中層,D,8502285,12485,681
4.0/F高層D,4.0,高層,D,8690241,12761,681
2.0/F低層E,2.0,低層,E,5240760,11010,476
2.0/F中層E,2.0,中層,E,5240760,11010,476
4.0/F高層E,4.0,高層,E,5660116,11891,476
2.0/F低層F,2.0,低層,F,4997853,11333,441
2.0/F中層F,2.0,中層,F,4997853,11333,441
4.0/F高層F,4.0,高層,F,5333895,12095,441
