,subjFloor,floorLv,unitNo,price,npsf,nfa,com_score,com_no,district
7.0/F低層1,7.0,低層,1,5997690,9270,647,318,4,NMOS
20.0/F中層1,20.0,中層,1,6391713,9879,647,354,4,NMOS
32.0/F高層1,32.0,高層,1,6530818,10094,647,311,4,NMOS
7.0/F低層10,7.0,低層,10,5618408,9302,604,345,4,NMOS
20.0/F中層10,20.0,中層,10,5909633,9833,601,337,3,NMOS
32.0/F高層10,32.0,高層,10,6007084,10079,596,371,4,NMOS
7.0/F低層11,7.0,低層,11,5422108,8977,604,360,4,NMOS
20.0/F中層11,20.0,中層,11,5765180,9545,604,321,3,NMOS
32.0/F高層11,32.0,高層,11,5996952,10062,596,387,4,NMOS
7.0/F低層12,7.0,低層,12,5138100,9515,540,369,4,NMOS
20.0/F中層12,20.0,中層,12,5316584,9919,536,328,3,NMOS
32.0/F高層12,32.0,高層,12,5647712,10616,532,357,4,NMOS
7.0/F低層13,7.0,低層,13,5154300,9545,540,339,4,NMOS
20.0/F中層13,20.0,中層,13,5466664,10199,536,360,4,NMOS
32.0/F高層13,32.0,高層,13,5708892,10731,532,315,4,NMOS
7.0/F低層14,7.0,低層,14,4209144,9654,436,360,5,NMOS
20.0/F中層14,20.0,中層,14,4514891,10427,433,340,4,NMOS
32.0/F高層14,32.0,高層,14,4252246,9866,431,334,4,NMOS
7.0/F低層15,7.0,低層,15,4415372,10127,436,317,4,NMOS
20.0/F中層15,20.0,中層,15,4514891,10427,433,340,4,NMOS
32.0/F高層15,32.0,高層,15,4526793,10503,431,313,4,NMOS
7.0/F低層16,7.0,低層,16,5997690,9270,647,318,4,NMOS
20.0/F中層16,20.0,中層,16,6341034,9877,642,355,4,NMOS
32.0/F高層16,32.0,高層,16,6479064,10092,642,312,4,NMOS
7.0/F低層2,7.0,低層,2,5442040,9010,604,348,4,NMOS
20.0/F中層2,20.0,中層,2,5899416,9816,601,364,4,NMOS
32.0/F高層2,32.0,高層,2,5972516,10021,596,315,4,NMOS
7.0/F低層3,7.0,低層,3,5516936,9134,604,325,4,NMOS
20.0/F中層3,20.0,中層,3,5960117,9917,601,330,3,NMOS
32.0/F高層3,32.0,高層,3,6046420,10145,596,324,4,NMOS
7.0/F低層4,7.0,低層,4,5114512,9542,536,317,4,NMOS
20.0/F中層4,20.0,中層,4,5466664,10199,536,360,4,NMOS
32.0/F高層4,32.0,高層,4,5370008,10094,532,339,4,NMOS
7.0/F低層5,7.0,低層,5,5132160,9504,540,357,4,NMOS
20.0/F中層5,20.0,中層,5,5175616,9656,536,329,3,NMOS
32.0/F高層5,32.0,高層,5,5460980,10265,532,364,4,NMOS
7.0/F低層6,7.0,低層,6,4230944,9704,436,359,4,NMOS
20.0/F中層6,20.0,中層,6,4538535,10245,443,334,3,NMOS
32.0/F高層6,32.0,高層,6,4493175,10425,431,325,3,NMOS
7.0/F低層7,7.0,低層,7,4157696,9536,436,381,4,NMOS
20.0/F中層7,20.0,中層,7,4414002,10194,433,363,3,NMOS
32.0/F高層7,32.0,高層,7,4516449,10479,431,386,4,NMOS
7.0/F低層8,7.0,低層,8,5923932,9156,647,361,4,NMOS
20.0/F中層8,20.0,中層,8,6231894,9707,642,330,3,NMOS
32.0/F高層8,32.0,高層,8,6413316,10068,637,370,4,NMOS
7.0/F低層9,7.0,低層,9,5966634,9222,647,360,4,NMOS
20.0/F中層9,20.0,中層,9,6354834,9822,647,400,4,NMOS
32.0/F高層9,32.0,高層,9,6408857,10061,637,351,4,NMOS
