,lumpSum_avg,npsf_avg,unit_count,lumpSum_total,npsf_total,nfa_total,final_address,lumpSum_B,npsf_B,nfa_B,lumpSum_C,npsf_C,nfa_C,lumpSum_D,npsf_D,nfa_D,lumpSum_E,npsf_E,nfa_E,lumpSum_K,npsf_K,nfa_K,lumpSum_L,npsf_L,nfa_L,lumpSum_M,npsf_M,nfa_M,lumpSum_N,npsf_N,nfa_N,lumpSum_P,npsf_P,nfa_P,lumpSum_change,npsf_change
2019-12-15,5599563.333333333,23761.11111111111,9,50396070.0,213850.0,2122,"AQUILA.SQUARE MILE(Block 1),FUK CHAK ST|利奧坊•曦岸1座,福澤街",5839360.0,22810.0,256.0,6081280.0,23755.0,256.0,6102784.0,23839.0,256.0,6042880.0,23605.0,256.0,6312856.0,24952.0,253.0,5908095.0,23169.0,255.0,4658656.0,23648.0,197.0,4528359.0,23463.0,193.0,4921800.0,24609.0,200.0,-0.030542728535201014,-0.030541237697597867
2019-11-15,5775977.444444444,24509.666666666668,9,51983797.0,220587.0,2122,"AQUILA.SQUARE MILE(Block 1),FUK CHAK ST|利奧坊•曦岸1座,福澤街",6023424.0,23529.0,256.0,6273536.0,24506.0,256.0,6295552.0,24592.0,256.0,6232832.0,24347.0,256.0,6511208.0,25736.0,253.0,6094245.0,23899.0,255.0,4805421.0,24393.0,197.0,4671179.0,24203.0,193.0,5076400.0,25382.0,200.0,0.07326339599876253,0.07326460012942215
2019-10-15,5381696.111111111,22836.555555555555,9,48435265.0,205529.0,2122,"AQUILA.SQUARE MILE(Block 1),FUK CHAK ST|利奧坊•曦岸1座,福澤街",5612288.0,21923.0,256.0,5845760.0,22835.0,256.0,5866240.0,22915.0,256.0,5807104.0,22684.0,256.0,6066181.0,23977.0,253.0,5678340.0,22268.0,255.0,4477416.0,22728.0,197.0,4352536.0,22552.0,193.0,4729400.0,23647.0,200.0,-0.062317058691235716,-0.06231636768436233
2019-9-15,5739355.888888889,24354.222222222223,9,51654203.0,219188.0,2122,"AQUILA.SQUARE MILE(Block 1),FUK CHAK ST|利奧坊•曦岸1座,福澤街",5985280.0,23380.0,256.0,6234880.0,24355.0,256.0,6256640.0,24440.0,256.0,6192640.0,24190.0,256.0,6468704.0,25568.0,253.0,6055740.0,23748.0,255.0,4775083.0,24239.0,197.0,4642036.0,24052.0,193.0,5043200.0,25216.0,200.0,-0.04173527565177704,-0.04173406664509871
2019-8-15,5989321.888888889,25414.88888888889,9,53903897.0,228734.0,2122,"AQUILA.SQUARE MILE(Block 1),FUK CHAK ST|利奧坊•曦岸1座,福澤街",6246144.0,24399.0,256.0,6507008.0,25418.0,256.0,6529536.0,25506.0,256.0,6461696.0,25241.0,256.0,6750040.0,26680.0,253.0,6319665.0,24783.0,255.0,4983115.0,25295.0,197.0,4844493.0,25101.0,193.0,5262200.0,26311.0,200.0,0.024424486102966547,0.024426728771049788
2019-7-15,5846523.555555556,24808.88888888889,9,52618712.0,223280.0,2122,"AQUILA.SQUARE MILE(Block 1),FUK CHAK ST|利奧坊•曦岸1座,福澤街",6097408.0,23818.0,256.0,6352640.0,24815.0,256.0,6374400.0,24900.0,256.0,6307328.0,24638.0,256.0,6588373.0,26041.0,253.0,6168960.0,24192.0,255.0,4864324.0,24692.0,197.0,4729079.0,24503.0,193.0,5136200.0,25681.0,200.0,0.006268448586943309,0.006268900215873785
2019-6-15,5810103.222222222,24654.333333333332,9,52290929.0,221889.0,2122,"AQUILA.SQUARE MILE(Block 1),FUK CHAK ST|利奧坊•曦岸1座,福澤街",6059520.0,23670.0,256.0,6313728.0,24663.0,256.0,6335232.0,24747.0,256.0,6267392.0,24482.0,256.0,6546628.0,25876.0,253.0,6130710.0,24042.0,255.0,4834183.0,24539.0,197.0,4699936.0,24352.0,193.0,5103600.0,25518.0,200.0,0.000670910272855485,0.0006719581491836379
2019-5-15,5806207.777777778,24637.777777777777,9,52255870.0,221740.0,2122,"AQUILA.SQUARE MILE(Block 1),FUK CHAK ST|利奧坊•曦岸1座,福澤街",6055424.0,23654.0,256.0,6310144.0,24649.0,256.0,6331648.0,24733.0,256.0,6262784.0,24464.0,256.0,6541568.0,25856.0,253.0,6126630.0,24026.0,255.0,4831031.0,24523.0,197.0,4697041.0,24337.0,193.0,5099600.0,25498.0,200.0,-0.007875369577121982,-0.007683804937862804
2019-4-15,5852296.777777778,24828.555555555555,9,52670671.0,223457.0,2122,"AQUILA.SQUARE MILE(Block 1),FUK CHAK ST|利奧坊•曦岸1座,福澤街",6088960.0,23785.0,256.0,6345472.0,24787.0,256.0,6366976.0,24871.0,256.0,6423808.0,25093.0,256.0,6576988.0,25996.0,253.0,6160545.0,24159.0,255.0,4857626.0,24658.0,197.0,4723096.0,24472.0,193.0,5127200.0,25636.0,200.0,0.051731596004828795,0.051532662607173485
2019-3-15,5564439.444444444,23611.777777777777,9,50079955.0,212506.0,2122,"AQUILA.SQUARE MILE(Block 1),FUK CHAK ST|利奧坊•曦岸1座,福澤街",5803520.0,22670.0,256.0,6048512.0,23627.0,256.0,6068992.0,23707.0,256.0,6001152.0,23442.0,256.0,6268075.0,24775.0,253.0,5871885.0,23027.0,255.0,4629894.0,23502.0,197.0,4501725.0,23325.0,193.0,4886200.0,24431.0,200.0,-0.02309142411413989,-0.023091174050356544
2019-2-15,5695967.444444444,24169.88888888889,9,51263707.0,217529.0,2122,"AQUILA.SQUARE MILE(Block 1),FUK CHAK ST|利奧坊•曦岸1座,福澤街",5940736.0,23206.0,256.0,6192128.0,24188.0,256.0,6212864.0,24269.0,256.0,6142720.0,23995.0,256.0,6415574.0,25358.0,253.0,6010605.0,23571.0,255.0,4739426.0,24058.0,197.0,4608454.0,23878.0,193.0,5001200.0,25006.0,200.0,0.06977261567618975,0.06977441834160358
