,lumpSum_avg,npsf_avg,unit_count,lumpSum_total,npsf_total,nfa_total,final_address,lumpSum_F.P.,npsf_F.P.,nfa_F.P.,lumpSum_change,npsf_change
2019-12-15,3488100.0,9966.0,1,3488100.0,9966.0,350,"MEI KING MANSION(Phase 1),LOK SHAN RD|美景樓1期,落山道",3488100.0,9966.0,350.0,0.03146346512109299,0.03146346512109299
2017-6-15,,,1,,,350,"MEI KING MANSION(Phase 1),LOK SHAN RD|美景樓1期,落山道",,,350.0,,
2017-5-15,,,1,,,350,"MEI KING MANSION(Phase 1),LOK SHAN RD|美景樓1期,落山道",,,350.0,,
2017-4-15,,,1,,,350,"MEI KING MANSION(Phase 1),LOK SHAN RD|美景樓1期,落山道",,,350.0,,
2017-3-15,,,1,,,350,"MEI KING MANSION(Phase 1),LOK SHAN RD|美景樓1期,落山道",,,350.0,,
2017-2-15,,,1,,,350,"MEI KING MANSION(Phase 1),LOK SHAN RD|美景樓1期,落山道",,,350.0,,
2017-1-15,,,1,,,350,"MEI KING MANSION(Phase 1),LOK SHAN RD|美景樓1期,落山道",,,350.0,,
2016-12-15,,,1,,,350,"MEI KING MANSION(Phase 1),LOK SHAN RD|美景樓1期,落山道",,,350.0,,
2016-11-15,,,1,,,350,"MEI KING MANSION(Phase 1),LOK SHAN RD|美景樓1期,落山道",,,350.0,,
2016-10-15,,,1,,,350,"MEI KING MANSION(Phase 1),LOK SHAN RD|美景樓1期,落山道",,,350.0,,
2016-9-15,,,1,,,350,"MEI KING MANSION(Phase 1),LOK SHAN RD|美景樓1期,落山道",,,350.0,,
2016-8-15,,,1,,,350,"MEI KING MANSION(Phase 1),LOK SHAN RD|美景樓1期,落山道",,,350.0,,
2016-7-15,,,1,,,350,"MEI KING MANSION(Phase 1),LOK SHAN RD|美景樓1期,落山道",,,350.0,,
2016-6-15,,,1,,,350,"MEI KING MANSION(Phase 1),LOK SHAN RD|美景樓1期,落山道",,,350.0,,
2016-5-15,,,1,,,350,"MEI KING MANSION(Phase 1),LOK SHAN RD|美景樓1期,落山道",,,350.0,,
2016-4-15,,,1,,,350,"MEI KING MANSION(Phase 1),LOK SHAN RD|美景樓1期,落山道",,,350.0,,
2016-3-15,,,1,,,350,"MEI KING MANSION(Phase 1),LOK SHAN RD|美景樓1期,落山道",,,350.0,,
2016-2-15,,,1,,,350,"MEI KING MANSION(Phase 1),LOK SHAN RD|美景樓1期,落山道",,,350.0,,
2016-1-15,,,1,,,350,"MEI KING MANSION(Phase 1),LOK SHAN RD|美景樓1期,落山道",,,350.0,,
