,lumpSum_avg,npsf_avg,unit_count,lumpSum_total,npsf_total,nfa_total,final_address,lumpSum_A,npsf_A,nfa_A,lumpSum_B,npsf_B,nfa_B,lumpSum_D,npsf_D,nfa_D,lumpSum_E,npsf_E,nfa_E,lumpSum_F,npsf_F,nfa_F,lumpSum_G,npsf_G,nfa_G,lumpSum_H,npsf_H,nfa_H,lumpSum_J,npsf_J,nfa_J,lumpSum_change,npsf_change
2019-12-15,9873406.625,14931.25,8,78987253.0,119450.0,5253,"SEA TO SKY(LOHAS PARK),Block 2,Phase 8,1 LOHAS PARK RD|SEA TO SKY(日出康城),第8期,第2座,1 康城路",13255008.0,16224.0,817.0,11151861.0,14889.0,749.0,10370646.0,14586.0,711.0,6852130.000000001,14579.0,470.0,6736392.0,14394.0,468.0,6847350.0,14325.0,478.0,11188080.0,14760.0,758.0,12585786.0,15693.0,802.0,-0.049933692712010314,-0.049918075815662655
2018-7-15,,,8,,,5253,"SEA TO SKY(LOHAS PARK),Block 2,Phase 8,1 LOHAS PARK RD|SEA TO SKY(日出康城),第8期,第2座,1 康城路",,,817.0,,,749.0,,,711.0,,,470.0,,,468.0,,,478.0,,,758.0,,,802.0,,
2018-6-15,,,8,,,5253,"SEA TO SKY(LOHAS PARK),Block 2,Phase 8,1 LOHAS PARK RD|SEA TO SKY(日出康城),第8期,第2座,1 康城路",,,817.0,,,749.0,,,711.0,,,470.0,,,468.0,,,478.0,,,758.0,,,802.0,,
2018-5-15,,,8,,,5253,"SEA TO SKY(LOHAS PARK),Block 2,Phase 8,1 LOHAS PARK RD|SEA TO SKY(日出康城),第8期,第2座,1 康城路",,,817.0,,,749.0,,,711.0,,,470.0,,,468.0,,,478.0,,,758.0,,,802.0,,
2018-4-15,,,8,,,5253,"SEA TO SKY(LOHAS PARK),Block 2,Phase 8,1 LOHAS PARK RD|SEA TO SKY(日出康城),第8期,第2座,1 康城路",,,817.0,,,749.0,,,711.0,,,470.0,,,468.0,,,478.0,,,758.0,,,802.0,,
2018-3-15,,,8,,,5253,"SEA TO SKY(LOHAS PARK),Block 2,Phase 8,1 LOHAS PARK RD|SEA TO SKY(日出康城),第8期,第2座,1 康城路",,,817.0,,,749.0,,,711.0,,,470.0,,,468.0,,,478.0,,,758.0,,,802.0,,
2018-2-15,,,8,,,5253,"SEA TO SKY(LOHAS PARK),Block 2,Phase 8,1 LOHAS PARK RD|SEA TO SKY(日出康城),第8期,第2座,1 康城路",,,817.0,,,749.0,,,711.0,,,470.0,,,468.0,,,478.0,,,758.0,,,802.0,,
2018-1-15,,,8,,,5253,"SEA TO SKY(LOHAS PARK),Block 2,Phase 8,1 LOHAS PARK RD|SEA TO SKY(日出康城),第8期,第2座,1 康城路",,,817.0,,,749.0,,,711.0,,,470.0,,,468.0,,,478.0,,,758.0,,,802.0,,
2017-12-15,,,8,,,5253,"SEA TO SKY(LOHAS PARK),Block 2,Phase 8,1 LOHAS PARK RD|SEA TO SKY(日出康城),第8期,第2座,1 康城路",,,817.0,,,749.0,,,711.0,,,470.0,,,468.0,,,478.0,,,758.0,,,802.0,,
2017-11-15,,,8,,,5253,"SEA TO SKY(LOHAS PARK),Block 2,Phase 8,1 LOHAS PARK RD|SEA TO SKY(日出康城),第8期,第2座,1 康城路",,,817.0,,,749.0,,,711.0,,,470.0,,,468.0,,,478.0,,,758.0,,,802.0,,
2017-10-15,,,8,,,5253,"SEA TO SKY(LOHAS PARK),Block 2,Phase 8,1 LOHAS PARK RD|SEA TO SKY(日出康城),第8期,第2座,1 康城路",,,817.0,,,749.0,,,711.0,,,470.0,,,468.0,,,478.0,,,758.0,,,802.0,,
2017-9-15,,,8,,,5253,"SEA TO SKY(LOHAS PARK),Block 2,Phase 8,1 LOHAS PARK RD|SEA TO SKY(日出康城),第8期,第2座,1 康城路",,,817.0,,,749.0,,,711.0,,,470.0,,,468.0,,,478.0,,,758.0,,,802.0,,
2017-8-15,,,8,,,5253,"SEA TO SKY(LOHAS PARK),Block 2,Phase 8,1 LOHAS PARK RD|SEA TO SKY(日出康城),第8期,第2座,1 康城路",,,817.0,,,749.0,,,711.0,,,470.0,,,468.0,,,478.0,,,758.0,,,802.0,,
2017-7-15,,,8,,,5253,"SEA TO SKY(LOHAS PARK),Block 2,Phase 8,1 LOHAS PARK RD|SEA TO SKY(日出康城),第8期,第2座,1 康城路",,,817.0,,,749.0,,,711.0,,,470.0,,,468.0,,,478.0,,,758.0,,,802.0,,
2017-6-15,,,8,,,5253,"SEA TO SKY(LOHAS PARK),Block 2,Phase 8,1 LOHAS PARK RD|SEA TO SKY(日出康城),第8期,第2座,1 康城路",,,817.0,,,749.0,,,711.0,,,470.0,,,468.0,,,478.0,,,758.0,,,802.0,,
2017-5-15,,,8,,,5253,"SEA TO SKY(LOHAS PARK),Block 2,Phase 8,1 LOHAS PARK RD|SEA TO SKY(日出康城),第8期,第2座,1 康城路",,,817.0,,,749.0,,,711.0,,,470.0,,,468.0,,,478.0,,,758.0,,,802.0,,
2017-4-15,,,8,,,5253,"SEA TO SKY(LOHAS PARK),Block 2,Phase 8,1 LOHAS PARK RD|SEA TO SKY(日出康城),第8期,第2座,1 康城路",,,817.0,,,749.0,,,711.0,,,470.0,,,468.0,,,478.0,,,758.0,,,802.0,,
2017-3-15,,,8,,,5253,"SEA TO SKY(LOHAS PARK),Block 2,Phase 8,1 LOHAS PARK RD|SEA TO SKY(日出康城),第8期,第2座,1 康城路",,,817.0,,,749.0,,,711.0,,,470.0,,,468.0,,,478.0,,,758.0,,,802.0,,
2017-2-15,,,8,,,5253,"SEA TO SKY(LOHAS PARK),Block 2,Phase 8,1 LOHAS PARK RD|SEA TO SKY(日出康城),第8期,第2座,1 康城路",,,817.0,,,749.0,,,711.0,,,470.0,,,468.0,,,478.0,,,758.0,,,802.0,,
2017-1-15,,,8,,,5253,"SEA TO SKY(LOHAS PARK),Block 2,Phase 8,1 LOHAS PARK RD|SEA TO SKY(日出康城),第8期,第2座,1 康城路",,,817.0,,,749.0,,,711.0,,,470.0,,,468.0,,,478.0,,,758.0,,,802.0,,
2016-12-15,,,8,,,5253,"SEA TO SKY(LOHAS PARK),Block 2,Phase 8,1 LOHAS PARK RD|SEA TO SKY(日出康城),第8期,第2座,1 康城路",,,817.0,,,749.0,,,711.0,,,470.0,,,468.0,,,478.0,,,758.0,,,802.0,,
2016-11-15,,,8,,,5253,"SEA TO SKY(LOHAS PARK),Block 2,Phase 8,1 LOHAS PARK RD|SEA TO SKY(日出康城),第8期,第2座,1 康城路",,,817.0,,,749.0,,,711.0,,,470.0,,,468.0,,,478.0,,,758.0,,,802.0,,
2016-10-15,,,8,,,5253,"SEA TO SKY(LOHAS PARK),Block 2,Phase 8,1 LOHAS PARK RD|SEA TO SKY(日出康城),第8期,第2座,1 康城路",,,817.0,,,749.0,,,711.0,,,470.0,,,468.0,,,478.0,,,758.0,,,802.0,,
2016-9-15,,,8,,,5253,"SEA TO SKY(LOHAS PARK),Block 2,Phase 8,1 LOHAS PARK RD|SEA TO SKY(日出康城),第8期,第2座,1 康城路",,,817.0,,,749.0,,,711.0,,,470.0,,,468.0,,,478.0,,,758.0,,,802.0,,
2016-8-15,,,8,,,5253,"SEA TO SKY(LOHAS PARK),Block 2,Phase 8,1 LOHAS PARK RD|SEA TO SKY(日出康城),第8期,第2座,1 康城路",,,817.0,,,749.0,,,711.0,,,470.0,,,468.0,,,478.0,,,758.0,,,802.0,,
2016-7-15,,,8,,,5253,"SEA TO SKY(LOHAS PARK),Block 2,Phase 8,1 LOHAS PARK RD|SEA TO SKY(日出康城),第8期,第2座,1 康城路",,,817.0,,,749.0,,,711.0,,,470.0,,,468.0,,,478.0,,,758.0,,,802.0,,
2016-6-15,,,8,,,5253,"SEA TO SKY(LOHAS PARK),Block 2,Phase 8,1 LOHAS PARK RD|SEA TO SKY(日出康城),第8期,第2座,1 康城路",,,817.0,,,749.0,,,711.0,,,470.0,,,468.0,,,478.0,,,758.0,,,802.0,,
2016-5-15,,,8,,,5253,"SEA TO SKY(LOHAS PARK),Block 2,Phase 8,1 LOHAS PARK RD|SEA TO SKY(日出康城),第8期,第2座,1 康城路",,,817.0,,,749.0,,,711.0,,,470.0,,,468.0,,,478.0,,,758.0,,,802.0,,
2016-4-15,,,8,,,5253,"SEA TO SKY(LOHAS PARK),Block 2,Phase 8,1 LOHAS PARK RD|SEA TO SKY(日出康城),第8期,第2座,1 康城路",,,817.0,,,749.0,,,711.0,,,470.0,,,468.0,,,478.0,,,758.0,,,802.0,,
2016-3-15,,,8,,,5253,"SEA TO SKY(LOHAS PARK),Block 2,Phase 8,1 LOHAS PARK RD|SEA TO SKY(日出康城),第8期,第2座,1 康城路",,,817.0,,,749.0,,,711.0,,,470.0,,,468.0,,,478.0,,,758.0,,,802.0,,
2016-2-15,,,8,,,5253,"SEA TO SKY(LOHAS PARK),Block 2,Phase 8,1 LOHAS PARK RD|SEA TO SKY(日出康城),第8期,第2座,1 康城路",,,817.0,,,749.0,,,711.0,,,470.0,,,468.0,,,478.0,,,758.0,,,802.0,,
2016-1-15,,,8,,,5253,"SEA TO SKY(LOHAS PARK),Block 2,Phase 8,1 LOHAS PARK RD|SEA TO SKY(日出康城),第8期,第2座,1 康城路",,,817.0,,,749.0,,,711.0,,,470.0,,,468.0,,,478.0,,,758.0,,,802.0,,
