,subjFloor,floorLv,unitNo,price,npsf,nfa
5.0/F低層A,5.0,低層,A,5331645,10771,495
12.0/F中層A,12.0,中層,A,5617260,11348,495
19.0/F高層A,19.0,高層,A,5687055,11489,495
5.0/F低層B,5.0,低層,B,5063790,9929,510
12.0/F中層B,12.0,中層,B,5211180,10218,510
19.0/F高層B,19.0,高層,B,5393250,10575,510
5.0/F低層C,5.0,低層,C,5193330,10183,510
12.0/F中層C,12.0,中層,C,5371320,10532,510
19.0/F高層C,19.0,高層,C,5689050,11155,510
5.0/F低層D,5.0,低層,D,4132380,9839,420
12.0/F中層D,12.0,中層,D,4282740,10197,420
19.0/F高層D,19.0,高層,D,4432260,10553,420
5.0/F低層E,5.0,低層,E,5104080,10008,510
12.0/F中層E,12.0,中層,E,5283600,10360,510
19.0/F高層E,19.0,高層,E,5463630,10713,510
5.0/F低層F,5.0,低層,F,5088950,11974,425
12.0/F中層F,12.0,中層,F,4607000,10840,425
19.0/F高層F,19.0,高層,F,4760850,11202,425
5.0/F低層G,5.0,低層,G,4957625,11665,425
12.0/F中層G,12.0,中層,G,4619750,10870,425
19.0/F高層G,19.0,高層,G,4478225,10537,425
5.0/F低層H,5.0,低層,H,5104080,10008,510
12.0/F中層H,12.0,中層,H,5283600,10360,510
19.0/F高層H,19.0,高層,H,5463630,10713,510
